disco,month,official_order_found,effective_date,release_title,filename,official_url,notes
YEDC,2025-01,YES,2025-01,YEDC MYTO JAN 2025,YEDC-MYTO-JAN-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/YEDC-MYTO-JAN-2025.pdf,"NERC website publication date: February 13, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
AEDC,2025-02,YES,2025-02,AEDC MYTO FEBRUARY 2025,AEDC_February_2025_003.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/AEDC_February_2025_003.pdf,"NERC website publication date: February 19, 2025"
BEDC,2025-02,YES,2025-02,BEDC MYTO FEBRUARY 2025,BEDC_February_2025_004.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/BEDC_February_2025_004.pdf,"NERC website publication date: February 19, 2025"
EEDC,2025-02,YES,2025-02,EEDC MYTO FEBRUARY 2025,EEDC_February_2025_006.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/EEDC_February_2025_006.pdf,"NERC website publication date: February 19, 2025"
EKEDP,2025-02,YES,2025-02,EKEDP MYTO FEBRUARY 2025,EKEDP_February_2025_005.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/EKEDP_February_2025_005.pdf,"NERC website publication date: February 19, 2025"
IBEDC,2025-02,YES,2025-02,IBEDC MYTO FEBRUARY 2025,IBEDC_February-2025_007.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/IBEDC_February-2025_007.pdf,"NERC website publication date: February 19, 2025"
IE,2025-02,YES,2025-02,IE MYTO FEBRUARY 2025,IE_February-2025_008.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/IE_February-2025_008.pdf,"NERC website publication date: February 19, 2025"
JED,2025-02,YES,2025-02,JED MYTO FEBRUARY 2025,JED_February-2025_009.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/JED_February-2025_009.pdf,"NERC website publication date: February 19, 2025"
KAEDC,2025-02,YES,2025-02,KAEDC MYTO FEBRUARY 2025,KAEDC_February-2025_010.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/KAEDC_February-2025_010.pdf,"NERC website publication date: February 19, 2025"
KEDCO,2025-02,YES,2025-02,KEDCO MYTO FEBRUARY 2025,KEDCO_February-2025_011.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/KEDCO_February-2025_011.pdf,"NERC website publication date: February 19, 2025"
PHED,2025-02,YES,2025-02,PHED MYTO FEBRUARY 2025,PHED_February-2025_012.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/PHED_February-2025_012.pdf,"NERC website publication date: February 19, 2025"
YEDC,2025-02,YES,2025-02,YEDC MYTO FEBRUARY 2025,YEDC_February-2025_013.pdf,https://nerc.gov.ng/wp-content/uploads/2025/02/YEDC_February-2025_013.pdf,"NERC website publication date: February 19, 2025"
AEDC,2025-03,NO,2025-03,,,,"No official MYTO order located on nerc.gov.ng for this DisCo/month (searched MYTO document category with pagination, per-month and per-DisCo title searches, and direct upload-path probes)"
BEDC,2025-03,NO,2025-03,,,,"No official MYTO order located on nerc.gov.ng for this DisCo/month (searched MYTO document category with pagination, per-month and per-DisCo title searches, and direct upload-path probes)"
EEDC,2025-03,NO,2025-03,,,,"No official MYTO order located on nerc.gov.ng for this DisCo/month (searched MYTO document category with pagination, per-month and per-DisCo title searches, and direct upload-path probes)"
EKEDP,2025-03,NO,2025-03,,,,"No official MYTO order located on nerc.gov.ng for this DisCo/month (searched MYTO document category with pagination, per-month and per-DisCo title searches, and direct upload-path probes)"
IBEDC,2025-03,NO,2025-03,,,,"No official MYTO order located on nerc.gov.ng for this DisCo/month (searched MYTO document category with pagination, per-month and per-DisCo title searches, and direct upload-path probes)"
IE,2025-03,NO,2025-03,,,,"No official MYTO order located on nerc.gov.ng for this DisCo/month (searched MYTO document category with pagination, per-month and per-DisCo title searches, and direct upload-path probes)"
JED,2025-03,NO,2025-03,,,,"No official MYTO order located on nerc.gov.ng for this DisCo/month (searched MYTO document category with pagination, per-month and per-DisCo title searches, and direct upload-path probes)"
KAEDC,2025-03,NO,2025-03,,,,"No official MYTO order located on nerc.gov.ng for this DisCo/month (searched MYTO document category with pagination, per-month and per-DisCo title searches, and direct upload-path probes)"
KEDCO,2025-03,NO,2025-03,,,,"No official MYTO order located on nerc.gov.ng for this DisCo/month (searched MYTO document category with pagination, per-month and per-DisCo title searches, and direct upload-path probes)"
PHED,2025-03,NO,2025-03,,,,"No official MYTO order located on nerc.gov.ng for this DisCo/month (searched MYTO document category with pagination, per-month and per-DisCo title searches, and direct upload-path probes)"
YEDC,2025-03,NO,2025-03,,,,"No official MYTO order located on nerc.gov.ng for this DisCo/month (searched MYTO document category with pagination, per-month and per-DisCo title searches, and direct upload-path probes)"
AEDC,2025-04,YES,2025-04,AEDC MYTO APRIL 2025,AEDC-MYTO-APR-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/04/AEDC-MYTO-APR-2025.pdf,"NERC website publication date: April 30, 2025"
BEDC,2025-04,YES,2025-04,BEDC MYTO APRIL 2025,BEDC-MYTO-APR-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/04/BEDC-MYTO-APR-2025.pdf,"NERC website publication date: April 30, 2025"
EEDC,2025-04,YES,2025-04,EEDC MYTO APRIL 2025,EEDC-MYTO-APR-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/04/EEDC-MYTO-APR-2025.pdf,"NERC website publication date: April 30, 2025"
EKEDP,2025-04,YES,2025-04,EKEDP MYTO APRIL 2025,EKEDC-MYTO-APRIL-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/04/EKEDC-MYTO-APRIL-2025.pdf,"NERC website publication date: April 30, 2025"
IBEDC,2025-04,YES,2025-04,IBEDC MYTO APRIL 2025,IBEDC-MYTO-APR-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/04/IBEDC-MYTO-APR-2025.pdf,"NERC website publication date: April 30, 2025"
IE,2025-04,YES,2025-04,IE MYTO APRIL 2025,IE-MYTO-APR-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/04/IE-MYTO-APR-2025.pdf,"NERC website publication date: April 30, 2025"
JED,2025-04,YES,2025-04,JED MYTO APRIL 2025,JED-MYTO-APR-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/04/JED-MYTO-APR-2025.pdf,"NERC website publication date: April 30, 2025"
KAEDC,2025-04,YES,2025-04,KAEDC MYTO APRIL 2025,KAEDC-MYTO-APR-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/04/KAEDC-MYTO-APR-2025.pdf,"NERC website publication date: April 30, 2025"
KEDCO,2025-04,YES,2025-04,KEDCO MYTO APRIL 2025,KEDCO-MYTO-APR-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/04/KEDCO-MYTO-APR-2025.pdf,"NERC website publication date: April 30, 2025"
PHED,2025-04,YES,2025-04,PHED MYTO APRIL 2025,PHED-MYTO-APR-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/04/PHED-MYTO-APR-2025.pdf,"NERC website publication date: April 30, 2025"
YEDC,2025-04,YES,2025-04,YEDC MYTO APRIL 2025,YEDC-MYTO-APR-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/04/YEDC-MYTO-APR-2025.pdf,"NERC website publication date: April 30, 2025"
AEDC,2025-05,YES,2025-05,AEDC MYTO MAY 2025,AEDC_May_2025_045.pdf,https://nerc.gov.ng/wp-content/uploads/2025/05/AEDC_May_2025_045.pdf,"NERC website publication date: May 21, 2025"
BEDC,2025-05,YES,2025-05,BEDC MYTO MAY 2025,BEDC_May_2025_046.pdf,https://nerc.gov.ng/wp-content/uploads/2025/05/BEDC_May_2025_046.pdf,"NERC website publication date: May 21, 2025"
EEDC,2025-05,YES,2025-05,EEDC MYTO MAY 2025,EEDC_May_2025_048.pdf,https://nerc.gov.ng/wp-content/uploads/2025/05/EEDC_May_2025_048.pdf,"NERC website publication date: May 21, 2025"
EKEDP,2025-05,YES,2025-05,EKEDP MYTO MAY 2025,EKEDP_May_2025_047.pdf,https://nerc.gov.ng/wp-content/uploads/2025/05/EKEDP_May_2025_047.pdf,"NERC website publication date: May 21, 2025"
IBEDC,2025-05,YES,2025-05,IBEDC MYTO MAY 2025,IBEDC_May_2025_049.pdf,https://nerc.gov.ng/wp-content/uploads/2025/05/IBEDC_May_2025_049.pdf,"NERC website publication date: May 21, 2025"
IE,2025-05,YES,2025-05,IE MYTO MAY 2025,IE_May_2025_050.pdf,https://nerc.gov.ng/wp-content/uploads/2025/05/IE_May_2025_050.pdf,"NERC website publication date: May 21, 2025"
JED,2025-05,YES,2025-05,JED MYTO MAY 2025,JED_May_2025_051.pdf,https://nerc.gov.ng/wp-content/uploads/2025/05/JED_May_2025_051.pdf,"NERC website publication date: May 21, 2025"
KAEDC,2025-05,YES,2025-05,KAEDC MYTO MAY 2025,KAEDC_May_2025_052.pdf,https://nerc.gov.ng/wp-content/uploads/2025/05/KAEDC_May_2025_052.pdf,"NERC website publication date: May 21, 2025"
KEDCO,2025-05,YES,2025-05,KEDCO MYTO MAY 2025,KEDCO_May_2025_053.pdf,https://nerc.gov.ng/wp-content/uploads/2025/05/KEDCO_May_2025_053.pdf,"NERC website publication date: May 21, 2025"
PHED,2025-05,YES,2025-05,PHEDC MYTO MAY 2025,PHED_May_2025_054.pdf,https://nerc.gov.ng/wp-content/uploads/2025/05/PHED_May_2025_054.pdf,"NERC website publication date: May 21, 2025"
YEDC,2025-05,YES,2025-05,YEDC MYTO MAY 2025,YEDC_May_2025_055.pdf,https://nerc.gov.ng/wp-content/uploads/2025/05/YEDC_May_2025_055.pdf,"NERC website publication date: May 21, 2025"
AEDC,2025-06,YES,2025-06,AEDC MYTO JUNE 2025,Abuja-june-2025-1.pdf,https://nerc.gov.ng/wp-content/uploads/2025/06/Abuja-june-2025-1.pdf,"NERC website publication date: June 18, 2025"
BEDC,2025-06,YES,2025-06,BEDC MYTO JUNE 2025,Benin-june-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/06/Benin-june-2025.pdf,"NERC website publication date: June 18, 2025"
EEDC,2025-06,YES,2025-06,EEDC MYTO JUNE 2025,Enugu-june-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/06/Enugu-june-2025.pdf,"NERC website publication date: June 18, 2025"
EKEDP,2025-06,YES,2025-06,EKEDC MYTO JUNE 2025,Eko-june-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/06/Eko-june-2025.pdf,"NERC website publication date: June 18, 2025"
IBEDC,2025-06,YES,2025-06,IBEDC MYTO JUNE 2025,Ibadan-June-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/06/Ibadan-June-2025.pdf,"NERC website publication date: June 18, 2025"
IE,2025-06,YES,2025-06,IE MYTO JUNE 2025,Ikeja-june-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/06/Ikeja-june-2025.pdf,"NERC website publication date: June 18, 2025"
JED,2025-06,NO,2025-06,,,,"No official MYTO order located on nerc.gov.ng for this DisCo/month (searched MYTO document category with pagination, per-month and per-DisCo title searches, and direct upload-path probes)"
KAEDC,2025-06,YES,2025-06,KAEDC MYTO JUNE 2025,Kaduna-june-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/06/Kaduna-june-2025.pdf,"NERC website publication date: June 18, 2025"
KEDCO,2025-06,YES,2025-06,KEDCO MYTO JUNE 2025,Kano-june-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/06/Kano-june-2025.pdf,"NERC website publication date: June 18, 2025"
PHED,2025-06,YES,2025-06,PHEDC MYTO JUNE 2025,Portharcourt-june-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/06/Portharcourt-june-2025.pdf,"NERC website publication date: June 18, 2025"
YEDC,2025-06,YES,2025-06,YEDC MYTO JUNE 2025,Yola-june-2025.pdf,https://nerc.gov.ng/wp-content/uploads/2025/06/Yola-june-2025.pdf,"NERC website publication date: June 18, 2025"
AEDC,2025-07,YES,2025-07,AEDC MYTO JULY 2025,AEDC_July_2025_059.pdf,https://nerc.gov.ng/wp-content/uploads/2025/08/AEDC_July_2025_059.pdf,"NERC website publication date: August 28, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
BEDC,2025-07,YES,2025-07,BEDC MYTO JULY 2025,BEDC_July_2025_060.pdf,https://nerc.gov.ng/wp-content/uploads/2025/08/BEDC_July_2025_060.pdf,"NERC website publication date: August 28, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
EEDC,2025-07,YES,2025-07,EEDC MYTO JULY 2025,EEDC_July_2025_062.pdf,https://nerc.gov.ng/wp-content/uploads/2025/08/EEDC_July_2025_062.pdf,"NERC website publication date: August 28, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
EKEDP,2025-07,YES,2025-07,EKEDP MYTO JULY 2025,EKEDP_July_2025_061.pdf,https://nerc.gov.ng/wp-content/uploads/2025/08/EKEDP_July_2025_061.pdf,"NERC website publication date: August 28, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
IBEDC,2025-07,YES,2025-07,IBEDC MYTO JULY 2025,IBEDC_July_2025_063.pdf,https://nerc.gov.ng/wp-content/uploads/2025/08/IBEDC_July_2025_063.pdf,"NERC website publication date: August 28, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
IE,2025-07,YES,2025-07,IE MYTO JULY 2025,IE_July_2025_064.pdf,https://nerc.gov.ng/wp-content/uploads/2025/08/IE_July_2025_064.pdf,"NERC website publication date: August 28, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
JED,2025-07,YES,2025-07,JED MYTO JULY 2025,JED_July_2025_065.pdf,https://nerc.gov.ng/wp-content/uploads/2025/08/JED_July_2025_065.pdf,"NERC website publication date: August 28, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
KAEDC,2025-07,YES,2025-07,KAEDC MYTO JULY 2025,KAEDC_July_2025_066.pdf,https://nerc.gov.ng/wp-content/uploads/2025/08/KAEDC_July_2025_066.pdf,"NERC website publication date: August 28, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
KEDCO,2025-07,YES,2025-07,KEDCO MYTO JULY 2025,KEDCO_July_2025_067.pdf,https://nerc.gov.ng/wp-content/uploads/2025/08/KEDCO_July_2025_067.pdf,"NERC website publication date: August 28, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
PHED,2025-07,YES,2025-07,PHED MYTO JULY 2025,PHED_July_2025_068.pdf,https://nerc.gov.ng/wp-content/uploads/2025/08/PHED_July_2025_068.pdf,"NERC website publication date: August 28, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
YEDC,2025-07,YES,2025-07,YEDC MYTO JULY 2025,YEDC_July_2025_069.pdf,https://nerc.gov.ng/wp-content/uploads/2025/08/YEDC_July_2025_069.pdf,"NERC website publication date: August 28, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
AEDC,2025-08,YES,2025-08,AEDC MYTO AUGUST 2025,AEDC_AUG_2025_MYTO.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/AEDC_AUG_2025_MYTO.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
BEDC,2025-08,YES,2025-08,BEDC MYTO AUGUST 2025,BEDC_AUG_2025_MYTO.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/BEDC_AUG_2025_MYTO.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
EEDC,2025-08,YES,2025-08,EEDC MYTO AUGUST 2025,EEDC_AUG_2025_MYTO.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/EEDC_AUG_2025_MYTO.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
EKEDP,2025-08,YES,2025-08,EKEDP MYTO AUGUST 2025,EKEDP_AUG_2025_MYTO.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/EKEDP_AUG_2025_MYTO.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
IBEDC,2025-08,YES,2025-08,IBEDC MYTO AUGUST 2025,IBEDC_AUG_2025_MYTO.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/IBEDC_AUG_2025_MYTO.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
IE,2025-08,YES,2025-08,IE MYTO AUGUST 2025,IE_AUG_2025_MYTO.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/IE_AUG_2025_MYTO.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
JED,2025-08,YES,2025-08,JED MYTO AUGUST 2025,JED_AUG_2025_MYTO.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/JED_AUG_2025_MYTO.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
KAEDC,2025-08,YES,2025-08,KAEDC MYTO AUGUST 2025,KAEDC_AUG_2025_MYTO.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/KAEDC_AUG_2025_MYTO.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
KEDCO,2025-08,YES,2025-08,KEDCO MYTO AUGUST 2025,KEDCO_AUG_2025_MYTO.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/KEDCO_AUG_2025_MYTO.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
PHED,2025-08,YES,2025-08,PHED MYTO AUGUST 2025,PHED_AUG_2025_MYTO.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/PHED_AUG_2025_MYTO.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
YEDC,2025-08,YES,2025-08,YEDC MYTO AUGUST 2025,YEDC_AUG_2025_MYTO.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/YEDC_AUG_2025_MYTO.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
AEDC,2025-09,YES,2025-09,AEDC MYTO SEPTEMBER 2025,AEDC_SEPT_2025_095.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/AEDC_SEPT_2025_095.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
BEDC,2025-09,YES,2025-09,BEDC MYTO SEPTEMBER 2025,BEDC_SEPT_2025_097.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/BEDC_SEPT_2025_097.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
EEDC,2025-09,YES,2025-09,EEDC MYTO SEPTEMBER 2025,EEDC_SEPT_2025_099.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/EEDC_SEPT_2025_099.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
EKEDP,2025-09,YES,2025-09,EKEDP MYTO SEPTEMBER 2025,EKEDP_SEPT_2025_098.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/EKEDP_SEPT_2025_098.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
IBEDC,2025-09,YES,2025-09,IBEDC MYTO SEPTEMBER 2025,IBEDC_SEPT_2025_100.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/IBEDC_SEPT_2025_100.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
IE,2025-09,YES,2025-09,IE MYTO SEPTEMBER 2025,IE_SEPT_2025_101.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/IE_SEPT_2025_101.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
JED,2025-09,YES,2025-09,JED MYTO SEPTEMBER 2025,JED_SEPT_2025_102.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/JED_SEPT_2025_102.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
KAEDC,2025-09,YES,2025-09,KAEDC MYTO SEPTEMBER 2025,KAEDC_SEPT_2025_103.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/KAEDC_SEPT_2025_103.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
KEDCO,2025-09,YES,2025-09,KEDCO MYTO SEPTEMBER 2025,KEDCO_SEPT_2025_104.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/KEDCO_SEPT_2025_104.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
PHED,2025-09,YES,2025-09,PHED MYTO SEPTEMBER 2025,PHED__SEPT_2025_105.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/PHED__SEPT_2025_105.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
YEDC,2025-09,YES,2025-09,YEDC MYTO SEPTEMBER 2025,YEDC_SEPT_2025_106.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/YEDC_SEPT_2025_106.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
AEDC,2025-10,YES,2025-10,AEDC MYTO OCTOBER 2025,AEDC_OCT_2025_108.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/AEDC_OCT_2025_108.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
BEDC,2025-10,YES,2025-10,BEDC MYTO OCTOBER 2025,BEDC_OCT_2025_110.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/BEDC_OCT_2025_110.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
EEDC,2025-10,YES,2025-10,EEDC MYTO OCTOBER 2025,EEDC_OCT_2025_112.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/EEDC_OCT_2025_112.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
EKEDP,2025-10,YES,2025-10,EKEDP MYTO OCTOBER 2025,EKEDP_OCT_2025_111.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/EKEDP_OCT_2025_111.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
IBEDC,2025-10,YES,2025-10,IBEDC MYTO OCTOBER 2025,IBEDC_OCT_2025_113.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/IBEDC_OCT_2025_113.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
IE,2025-10,YES,2025-10,IE MYTO OCTOBER 2025,IE_OCT_2025_114.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/IE_OCT_2025_114.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
JED,2025-10,YES,2025-10,JED MYTO OCTOBER 2025,JED_OCT_2025_115.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/JED_OCT_2025_115.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
KAEDC,2025-10,YES,2025-10,KAEDC MYTO OCTOBER 2025,KAEDC_OCT_2025_116.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/KAEDC_OCT_2025_116.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
KEDCO,2025-10,YES,2025-10,KEDCO MYTO OCTOBER 2025,KEDCO_OCT_2025_117.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/KEDCO_OCT_2025_117.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
PHED,2025-10,YES,2025-10,PHED MYTO OCTOBER 2025,PHED_OCT_2025_118.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/PHED_OCT_2025_118.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
YEDC,2025-10,YES,2025-10,YEDC MYTO OCTOBER 2025,YEDC_OCT_2025_119.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/YEDC_OCT_2025_119.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
AEDC,2025-11,YES,2025-11,AEDC MYTO NOVEMBER 2025,AEDC_NOV_2025_122.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/AEDC_NOV_2025_122.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
BEDC,2025-11,YES,2025-11,BEDC MYTO NOVEMBER 2025,BEDC_NOV_2025_124.pdf,https://nerc.gov.ng/wp-content/uploads/2025/12/BEDC_NOV_2025_124.pdf,"NERC website publication date: December 7, 2025; PUBLISHED AFTER EFFECTIVE MONTH"
