observation_month,release_month,item_code,item_label,item_label_raw,unit,unit_source,extreme_type,geography_type,state,state_raw_label,zone,price_ngn,is_shared_extreme,raw_callout_text,observation_month_basis,source_anomaly,header_row_used,source_file,source_member,source_sheet,source_row,source_column_index,source_cell_reference
2025-10-01,2025-10-01,BREAD_SLICED_450G,"Bread (sliced), 450g","Bread (sliced), 450g",450 g,SPREADSHEET_LABEL,HIGHEST,STATE,Adamawa,Adamawa,North East,1950,FALSE,Adamawa (1950),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,7,7,G7
2025-10-01,2025-10-01,BREAD_SLICED_450G,"Bread (sliced), 450g","Bread (sliced), 450g",450 g,SPREADSHEET_LABEL,LOWEST,STATE,Yobe,Yobe,North East,1043.47,FALSE,Yobe (1043.47),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,7,8,H7
2025-10-01,2025-10-01,BREAD_UNSLICED_450G,"Bread (unsliced), 450g","Bread (unsliced), 450g",450 g,SPREADSHEET_LABEL,HIGHEST,STATE,Taraba,Taraba,North East,1950,FALSE,Taraba (1950),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,8,7,G8
2025-10-01,2025-10-01,BREAD_UNSLICED_450G,"Bread (unsliced), 450g","Bread (unsliced), 450g",450 g,SPREADSHEET_LABEL,LOWEST,STATE,Ekiti,Ekiti,South West,1060.85,FALSE,Ekiti (1060.85),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,8,8,H8
2025-10-01,2025-10-01,CARROTS_FRESH,"Carrots, fresh","Carrots, fresh",1 kg,NBS_REPORT_PDF,HIGHEST,STATE,Imo,Imo,South East,2719.34,FALSE,Imo (2719.34),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,9,7,G9
2025-10-01,2025-10-01,CARROTS_FRESH,"Carrots, fresh","Carrots, fresh",1 kg,NBS_REPORT_PDF,LOWEST,STATE,Kebbi,Kebbi,North West,1248.89,FALSE,Kebbi (1248.89),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,9,8,H9
2025-10-01,2025-10-01,FISH_CATFISH_FRESH,Cat fresh fish,Cat fresh fish,,,HIGHEST,STATE,Plateau,Plateau,North Central,8320.53,FALSE,Plateau (8320.53),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,10,7,G10
2025-10-01,2025-10-01,FISH_CATFISH_FRESH,Cat fresh fish,Cat fresh fish,,,LOWEST,STATE,Zamfara,Zamfara,North West,3621.58,FALSE,Zamfara (3621.58),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,10,8,H10
2025-10-01,2025-10-01,CHICKEN_FEET,Chicken feet,Chicken feet,,,HIGHEST,STATE,Osun,Osun,South West,5429.5,FALSE,Osun (5429.5),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,11,7,G11
2025-10-01,2025-10-01,CHICKEN_FEET,Chicken feet,Chicken feet,,,LOWEST,STATE,Adamawa,Adamawa,North East,1786.03,FALSE,Adamawa (1786.03),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,11,8,H11
2025-10-01,2025-10-01,CHICKEN_MEAT_FROZEN,Chicken meat (Frozen),Chicken meat (Frozen),,,HIGHEST,STATE,Enugu,Enugu,South East,8777.09,FALSE,Enugu (8777.09),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,12,7,G12
2025-10-01,2025-10-01,CHICKEN_MEAT_FROZEN,Chicken meat (Frozen),Chicken meat (Frozen),,,LOWEST,STATE,Katsina,Katsina,North West,4550,FALSE,Katsina (4550),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,12,8,H12
2025-10-01,2025-10-01,CHICKEN_WINGS,Chicken Wings,Chicken Wings,,,HIGHEST,STATE,Ondo,Ondo,South West,6379.36,FALSE,Ondo (6379.36),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,13,7,G13
2025-10-01,2025-10-01,CHICKEN_WINGS,Chicken Wings,Chicken Wings,,,LOWEST,STATE,Plateau,Plateau,North Central,3623.8,FALSE,Plateau (3623.8),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,13,8,H13
2025-10-01,2025-10-01,CRAYFISH_SMALL_WHITE,Cray fish small white,Cray fish small white,1 kg,NBS_REPORT_PDF,HIGHEST,STATE,Gombe,Gombe,North East,10514.53,FALSE,Gombe (10514.53),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,14,7,G14
2025-10-01,2025-10-01,CRAYFISH_SMALL_WHITE,Cray fish small white,Cray fish small white,1 kg,NBS_REPORT_PDF,LOWEST,STATE,Bayelsa,Bayelsa,South South,6135.75,FALSE,Bayelsa (6135.75),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,14,8,H14
2025-10-01,2025-10-01,FISH_DRIED_BONGA,"Dried fish, Bonga","Dried fish, Bonga",,,HIGHEST,STATE,Ebonyi,Ebonyi,South East,10993.31,FALSE,Ebonyi (10993.31),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,15,7,G15
2025-10-01,2025-10-01,FISH_DRIED_BONGA,"Dried fish, Bonga","Dried fish, Bonga",,,LOWEST,STATE,Katsina,Katsina,North West,5085.33,FALSE,Katsina (5085.33),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,15,8,H15
2025-10-01,2025-10-01,GARRI_WHITE,Garri white,Garri white,1 kg,NBS_REPORT_PDF,HIGHEST,STATE,Bayelsa,Bayelsa,South South,1165.3,FALSE,Bayelsa (1165.3),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,16,7,G16
2025-10-01,2025-10-01,GARRI_WHITE,Garri white,Garri white,1 kg,NBS_REPORT_PDF,LOWEST,STATE,Plateau,Plateau,North Central,490.1,FALSE,Plateau (490.1),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,16,8,H16
2025-10-01,2025-10-01,GARRI_YELLOW,Garri Yellow,Garri Yellow,,,HIGHEST,STATE,Oyo,Oyo,South West,1215.48,FALSE,Oyo (1215.48),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,17,7,G17
2025-10-01,2025-10-01,GARRI_YELLOW,Garri Yellow,Garri Yellow,,,LOWEST,STATE,Plateau,Plateau,North Central,577.06,FALSE,Plateau (577.06),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,17,8,H17
2025-10-01,2025-10-01,GINGER_FRESH,"Ginger, fresh","Ginger, fresh",1 kg,NBS_REPORT_PDF,HIGHEST,STATE,Lagos,Lagos,South West,7690.18,FALSE,Lagos (7690.18),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,18,7,G18
2025-10-01,2025-10-01,GINGER_FRESH,"Ginger, fresh","Ginger, fresh",1 kg,NBS_REPORT_PDF,LOWEST,STATE,Zamfara,Zamfara,North West,3458.42,FALSE,Zamfara (3458.42),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,18,8,H18
2025-10-01,2025-10-01,GOAT_MEAT_BONE_IN,Goat Meat Bone in,Goat Meat Bone in,,,HIGHEST,STATE,Abia,Abia,South East,8934.09,FALSE,Abia (8934.09),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,19,7,G19
2025-10-01,2025-10-01,GOAT_MEAT_BONE_IN,Goat Meat Bone in,Goat Meat Bone in,,,LOWEST,STATE,Kogi,Kogi,North Central,4033.85,FALSE,Kogi (4033.85),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,19,8,H19
2025-10-01,2025-10-01,GROUNDNUT_OIL_75CL,"Groundnut oil, 75cl","Groundnut oil, 75cl",75 cl,SPREADSHEET_LABEL,HIGHEST,STATE,Delta,Delta,South South,4153.2,FALSE,Delta (4153.2),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,20,7,G20
2025-10-01,2025-10-01,GROUNDNUT_OIL_75CL,"Groundnut oil, 75cl","Groundnut oil, 75cl",75 cl,SPREADSHEET_LABEL,LOWEST,STATE,Abia,Abia,South East,2329.41,FALSE,Abia (2329.41),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,20,8,H20
2025-10-01,2025-10-01,GROUNDNUTS_ROASTED_75CL,"Groundnuts, roasted,75cl bottle","Groundnuts, roasted,75cl bottle",75 cl bottle,SPREADSHEET_LABEL,HIGHEST,STATE,Taraba,Taraba,North East,3770.9,FALSE,Taraba (3770.9),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,21,7,G21
2025-10-01,2025-10-01,GROUNDNUTS_ROASTED_75CL,"Groundnuts, roasted,75cl bottle","Groundnuts, roasted,75cl bottle",75 cl bottle,SPREADSHEET_LABEL,LOWEST,STATE,Bauchi,Bauchi,North East,2188.89,FALSE,Bauchi (2188.89),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,21,8,H21
2025-10-01,2025-10-01,POTATO_IRISH,Irish Potatoe,Irish Potatoe,1 kg,NBS_REPORT_PDF,HIGHEST,STATE,Abia,Abia,South East,2350.54,FALSE,Abia (2350.54),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,22,7,G22
2025-10-01,2025-10-01,POTATO_IRISH,Irish Potatoe,Irish Potatoe,1 kg,NBS_REPORT_PDF,LOWEST,STATE,Plateau,Plateau,North Central,986.03,FALSE,Plateau (986.03),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,22,8,H22
2025-10-01,2025-10-01,RICE_LOCAL_BROKEN,Local Rice (Broken),Local Rice (Broken),,,HIGHEST,STATE,Bayelsa,Bayelsa,South South,3498.49,FALSE,Bayelsa (3498.49),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,23,7,G23
2025-10-01,2025-10-01,RICE_LOCAL_BROKEN,Local Rice (Broken),Local Rice (Broken),,,LOWEST,STATE,Bauchi,Bauchi,North East,1256.5,FALSE,Bauchi (1256.5),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,23,8,H23
2025-10-01,2025-10-01,FISH_MACKEREL_FROZEN,"Mackerel, Frozen","Mackerel, Frozen",,,HIGHEST,STATE,Plateau,Plateau,North Central,9077.08,FALSE,Plateau (9077.08),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,24,7,G24
2025-10-01,2025-10-01,FISH_MACKEREL_FROZEN,"Mackerel, Frozen","Mackerel, Frozen",,,LOWEST,STATE,Zamfara,Zamfara,North West,3661.67,FALSE,Zamfara (3661.67),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,24,8,H24
2025-10-01,2025-10-01,MAIZE_GRAIN_WHITE_LOOSE,Maize (Corn) Grains (White) sold loose,Maize (Corn) Grains (White) sold loose,1 kg,NBS_REPORT_PDF,HIGHEST,STATE,Imo,Imo,South East,1581.23,FALSE,Imo (1581.23),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,25,7,G25
2025-10-01,2025-10-01,MAIZE_GRAIN_WHITE_LOOSE,Maize (Corn) Grains (White) sold loose,Maize (Corn) Grains (White) sold loose,1 kg,NBS_REPORT_PDF,LOWEST,STATE,Adamawa,Adamawa,North East,550,FALSE,Adamawa (550),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,25,8,H25
2025-10-01,2025-10-01,ONIONS_FRESH,"Onions, fresh","Onions, fresh",1 kg,NBS_REPORT_PDF,HIGHEST,STATE,Abia,Abia,South East,2353.05,FALSE,Abia (2353.05),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,26,7,G26
2025-10-01,2025-10-01,ONIONS_FRESH,"Onions, fresh","Onions, fresh",1 kg,NBS_REPORT_PDF,LOWEST,STATE,Kwara,Kwara,North Central,833.07,FALSE,Kwara (833.07),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,26,8,H26
2025-10-01,2025-10-01,PALM_OIL_75CL,"Palm oil, 75cl","Palm oil, 75cl",75 cl,SPREADSHEET_LABEL,HIGHEST,STATE,Enugu,Enugu,South East,3068.63,FALSE,Enugu (3068.63),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,27,7,G27
2025-10-01,2025-10-01,PALM_OIL_75CL,"Palm oil, 75cl","Palm oil, 75cl",75 cl,SPREADSHEET_LABEL,LOWEST,STATE,Taraba,Taraba,North East,2050,FALSE,Taraba (2050),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,27,8,H27
2025-10-01,2025-10-01,PLANTAIN_RIPE,Plantain (ripe),Plantain (ripe),,,HIGHEST,STATE,Plateau,Plateau,North Central,2712.07,FALSE,Plateau (2712.07),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,28,7,G28
2025-10-01,2025-10-01,PLANTAIN_RIPE,Plantain (ripe),Plantain (ripe),,,LOWEST,STATE,Gombe,Gombe,North East,1532.29,FALSE,Gombe (1532.29),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,28,8,H28
2025-10-01,2025-10-01,PLANTAIN_UNRIPE,Plantain (unripe),Plantain (unripe),,,HIGHEST,STATE,Plateau,Plateau,North Central,2949.74,FALSE,Plateau (2949.74),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,29,7,G29
2025-10-01,2025-10-01,PLANTAIN_UNRIPE,Plantain (unripe),Plantain (unripe),,,LOWEST,STATE,Gombe,Gombe,North East,1640.1,FALSE,Gombe (1640.1),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,29,8,H29
2025-10-01,2025-10-01,RICE_LOCAL_SHORT_GRAIN,"Rice Local, short-Grained","Rice Local, short-Grained",1 kg,NBS_REPORT_PDF,HIGHEST,STATE,Ogun,Ogun,South West,2163.23,FALSE,Ogun (2163.23),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,30,7,G30
2025-10-01,2025-10-01,RICE_LOCAL_SHORT_GRAIN,"Rice Local, short-Grained","Rice Local, short-Grained",1 kg,NBS_REPORT_PDF,LOWEST,STATE,Yobe,Yobe,North East,1523.47,FALSE,Yobe (1523.47),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,30,8,H30
2025-10-01,2025-10-01,RICE_IMPORTED_LONG_GRAIN,Rice Long-Grained (Imported),Rice Long-Grained (Imported),,,HIGHEST,STATE,Abuja,Abuja,North Central,2709.6,FALSE,Abuja (2709.6),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,31,7,G31
2025-10-01,2025-10-01,RICE_IMPORTED_LONG_GRAIN,Rice Long-Grained (Imported),Rice Long-Grained (Imported),,,LOWEST,STATE,Yobe,Yobe,North East,1877.16,FALSE,Yobe (1877.16),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,31,8,H31
2025-10-01,2025-10-01,SEMOVITA_1KG,"Semovita, Prepacked (1kg)","Semovita, Prepacked (1kg)",1 kg,SPREADSHEET_LABEL,HIGHEST,STATE,Abia,Abia,South East,3393.6,FALSE,Abia (3393.6),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,32,7,G32
2025-10-01,2025-10-01,SEMOVITA_1KG,"Semovita, Prepacked (1kg)","Semovita, Prepacked (1kg)",1 kg,SPREADSHEET_LABEL,LOWEST,STATE,Kaduna,Kaduna,North West,1799.36,FALSE,Kaduna (1799.36),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,32,8,H32
2025-10-01,2025-10-01,FISH_SMOKED_MACKEREL,Smoked fish (Mackerel),Smoked fish (Mackerel),,,HIGHEST,STATE,Taraba,Taraba,North East,8371.3,FALSE,Taraba (8371.3),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,33,7,G33
2025-10-01,2025-10-01,FISH_SMOKED_MACKEREL,Smoked fish (Mackerel),Smoked fish (Mackerel),,,LOWEST,STATE,Kebbi,Kebbi,North West,3468.7,FALSE,Kebbi (3468.7),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,33,8,H33
2025-10-01,2025-10-01,POTATO_SWEET,Sweet potatoes,Sweet potatoes,,,HIGHEST,STATE,Cross River,Cross River,South South,1550.74,FALSE,Cross River (1550.74),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,34,7,G34
2025-10-01,2025-10-01,POTATO_SWEET,Sweet potatoes,Sweet potatoes,,,LOWEST,STATE,Nasarawa,Nasarawa,North Central,444.54,FALSE,Nasarawa (444.54),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,34,8,H34
2025-10-01,2025-10-01,FISH_TILAPIA_FRESH,Tilapia fresh fish (Epiya),Tilapia fresh fish (Epiya),,,HIGHEST,STATE,Bauchi,Bauchi,North East,8761.45,FALSE,Bauchi (8761.45),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,35,7,G35
2025-10-01,2025-10-01,FISH_TILAPIA_FRESH,Tilapia fresh fish (Epiya),Tilapia fresh fish (Epiya),,,LOWEST,STATE,Sokoto,Sokoto,North West,3776.37,FALSE,Sokoto (3776.37),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,35,8,H35
2025-10-01,2025-10-01,MILK_EVAP_PEAK_150G,"Tin Milk-Evaporated, Peak Milk, 150g","Tin Milk-Evaporated, Peak Milk, 150g",150 g,SPREADSHEET_LABEL,HIGHEST,STATE,Imo,Imo,South East,1379,FALSE,Imo (1379),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,36,7,G36
2025-10-01,2025-10-01,MILK_EVAP_PEAK_150G,"Tin Milk-Evaporated, Peak Milk, 150g","Tin Milk-Evaporated, Peak Milk, 150g",150 g,SPREADSHEET_LABEL,LOWEST,STATE,Jigawa,Jigawa,North West,879.13,FALSE,Jigawa (879.13),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,36,8,H36
2025-10-01,2025-10-01,MILK_EVAP_THREECROWN_160G,"Tin Milk-Evaporated, Three Crown Milk, 160g","Tin Milk-Evaporated, Three Crown Milk, 160g",160 g,SPREADSHEET_LABEL,HIGHEST,STATE,Bauchi,Bauchi,North East,1315.85,FALSE,Bauchi (1315.85),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,37,7,G37
2025-10-01,2025-10-01,MILK_EVAP_THREECROWN_160G,"Tin Milk-Evaporated, Three Crown Milk, 160g","Tin Milk-Evaporated, Three Crown Milk, 160g",160 g,SPREADSHEET_LABEL,LOWEST,STATE,Ekiti,Ekiti,South West,789.77,FALSE,Ekiti (789.77),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,37,8,H37
2025-10-01,2025-10-01,FISH_TITUS_FROZEN,"Titus, frozen","Titus, frozen",,,HIGHEST,STATE,Kwara,Kwara,North Central,8954.1,FALSE,Kwara (8954.1),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,38,7,G38
2025-10-01,2025-10-01,FISH_TITUS_FROZEN,"Titus, frozen","Titus, frozen",,,LOWEST,STATE,Adamawa,Adamawa,North East,5212.96,FALSE,Adamawa (5212.96),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,38,8,H38
2025-10-01,2025-10-01,TOMATOES_FRESH,"Tomatoes, fresh","Tomatoes, fresh",1 kg,NBS_REPORT_PDF,HIGHEST,STATE,Ebonyi,Ebonyi,South East,2148.04,FALSE,Ebonyi (2148.04),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,39,7,G39
2025-10-01,2025-10-01,TOMATOES_FRESH,"Tomatoes, fresh","Tomatoes, fresh",1 kg,NBS_REPORT_PDF,LOWEST,STATE,Plateau,Plateau,North Central,687.09,FALSE,Plateau (687.09),RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,39,8,H39
