observation_month,release_month,item_code,item_label,item_label_raw,unit,unit_source,geography_type,geography_name,avg_price_ngn,value_status,period_position,source_period_label,is_primary_release,source_anomaly,header_row_used,header_label_raw,source_file,source_member,source_sheet,source_row,source_column_index,source_cell_reference
2025-09-01,2025-10-01,BEANS_WHITE,Beans white,Beans white,,,NATIONAL,Nigeria,1623.423953434283,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,5,3,C5
2025-10-01,2025-10-01,BEANS_WHITE,Beans white,Beans white,,,NATIONAL,Nigeria,1587.8173955384163,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,5,4,D5
2024-10-01,2025-10-01,BEEF_BONELESS,Beef Boneless,Beef Boneless,1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,5858.576745540555,OK,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,6,2,B6
2025-09-01,2025-10-01,BEEF_BONELESS,Beef Boneless,Beef Boneless,1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,6861.246548099691,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,6,3,C6
2025-10-01,2025-10-01,BEEF_BONELESS,Beef Boneless,Beef Boneless,1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,6850.5096699105,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,6,4,D6
2024-10-01,2025-10-01,BREAD_SLICED_450G,"Bread (sliced), 450g","Bread (sliced), 450g",450 g,SPREADSHEET_LABEL,NATIONAL,Nigeria,,NOT_REPORTED,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,7,2,B7
2025-09-01,2025-10-01,BREAD_SLICED_450G,"Bread (sliced), 450g","Bread (sliced), 450g",450 g,SPREADSHEET_LABEL,NATIONAL,Nigeria,1660.508897145389,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,7,3,C7
2025-10-01,2025-10-01,BREAD_SLICED_450G,"Bread (sliced), 450g","Bread (sliced), 450g",450 g,SPREADSHEET_LABEL,NATIONAL,Nigeria,1675.507169036891,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,7,4,D7
2024-10-01,2025-10-01,BREAD_UNSLICED_450G,"Bread (unsliced), 450g","Bread (unsliced), 450g",450 g,SPREADSHEET_LABEL,NATIONAL,Nigeria,,NOT_REPORTED,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,8,2,B8
2025-09-01,2025-10-01,BREAD_UNSLICED_450G,"Bread (unsliced), 450g","Bread (unsliced), 450g",450 g,SPREADSHEET_LABEL,NATIONAL,Nigeria,1555.6725952008244,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,8,3,C8
2025-10-01,2025-10-01,BREAD_UNSLICED_450G,"Bread (unsliced), 450g","Bread (unsliced), 450g",450 g,SPREADSHEET_LABEL,NATIONAL,Nigeria,1583.9091644128425,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,8,4,D8
2024-10-01,2025-10-01,CARROTS_FRESH,"Carrots, fresh","Carrots, fresh",1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,,NOT_REPORTED,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,9,2,B9
2025-09-01,2025-10-01,CARROTS_FRESH,"Carrots, fresh","Carrots, fresh",1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,1919.7626001197227,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,9,3,C9
2025-10-01,2025-10-01,CARROTS_FRESH,"Carrots, fresh","Carrots, fresh",1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,1930.071956371793,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,9,4,D9
2024-10-01,2025-10-01,FISH_CATFISH_FRESH,Cat fresh fish,Cat fresh fish,,,NATIONAL,Nigeria,4148.741367387596,OK,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,10,2,B10
2025-09-01,2025-10-01,FISH_CATFISH_FRESH,Cat fresh fish,Cat fresh fish,,,NATIONAL,Nigeria,5974.669380354981,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,10,3,C10
2025-10-01,2025-10-01,FISH_CATFISH_FRESH,Cat fresh fish,Cat fresh fish,,,NATIONAL,Nigeria,6047.172426530218,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,10,4,D10
2024-10-01,2025-10-01,CHICKEN_FEET,Chicken feet,Chicken feet,,,NATIONAL,Nigeria,3267.624252326546,OK,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,11,2,B11
2025-09-01,2025-10-01,CHICKEN_FEET,Chicken feet,Chicken feet,,,NATIONAL,Nigeria,3702.59737443637,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,11,3,C11
2025-10-01,2025-10-01,CHICKEN_FEET,Chicken feet,Chicken feet,,,NATIONAL,Nigeria,3739.0245502051375,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,11,4,D11
2024-10-01,2025-10-01,CHICKEN_MEAT_FROZEN,Chicken meat (Frozen),Chicken meat (Frozen),,,NATIONAL,Nigeria,5971.976202435055,OK,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,12,2,B12
2025-09-01,2025-10-01,CHICKEN_MEAT_FROZEN,Chicken meat (Frozen),Chicken meat (Frozen),,,NATIONAL,Nigeria,5875.583415758296,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,12,3,C12
2025-10-01,2025-10-01,CHICKEN_MEAT_FROZEN,Chicken meat (Frozen),Chicken meat (Frozen),,,NATIONAL,Nigeria,5899.460024791653,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,12,4,D12
2024-10-01,2025-10-01,CHICKEN_WINGS,Chicken Wings,Chicken Wings,,,NATIONAL,Nigeria,4193.966112761167,OK,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,13,2,B13
2025-09-01,2025-10-01,CHICKEN_WINGS,Chicken Wings,Chicken Wings,,,NATIONAL,Nigeria,4898.147541427127,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,13,3,C13
2025-10-01,2025-10-01,CHICKEN_WINGS,Chicken Wings,Chicken Wings,,,NATIONAL,Nigeria,4945.535029292948,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,13,4,D13
2024-10-01,2025-10-01,CRAYFISH_SMALL_WHITE,Cray fish small white,Cray fish small white,1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,,NOT_REPORTED,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,14,2,B14
2025-09-01,2025-10-01,CRAYFISH_SMALL_WHITE,Cray fish small white,Cray fish small white,1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,8754.601454689308,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,14,3,C14
2025-10-01,2025-10-01,CRAYFISH_SMALL_WHITE,Cray fish small white,Cray fish small white,1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,8690.200282227315,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,14,4,D14
2024-10-01,2025-10-01,FISH_DRIED_BONGA,"Dried fish, Bonga","Dried fish, Bonga",,,NATIONAL,Nigeria,,NOT_REPORTED,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,15,2,B15
2025-09-01,2025-10-01,FISH_DRIED_BONGA,"Dried fish, Bonga","Dried fish, Bonga",,,NATIONAL,Nigeria,7030.168543112501,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,15,3,C15
2025-10-01,2025-10-01,FISH_DRIED_BONGA,"Dried fish, Bonga","Dried fish, Bonga",,,NATIONAL,Nigeria,7213.334550321499,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,15,4,D15
2024-10-01,2025-10-01,GARRI_WHITE,Garri white,Garri white,1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,1198.04717975912,OK,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,16,2,B16
2025-09-01,2025-10-01,GARRI_WHITE,Garri white,Garri white,1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,871.7757576006741,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,16,3,C16
2025-10-01,2025-10-01,GARRI_WHITE,Garri white,Garri white,1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,846.6882745067923,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,16,4,D16
2024-10-01,2025-10-01,GARRI_YELLOW,Garri Yellow,Garri Yellow,,,NATIONAL,Nigeria,1266.314962807737,OK,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,17,2,B17
2025-09-01,2025-10-01,GARRI_YELLOW,Garri Yellow,Garri Yellow,,,NATIONAL,Nigeria,961.2109972829221,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,17,3,C17
2025-10-01,2025-10-01,GARRI_YELLOW,Garri Yellow,Garri Yellow,,,NATIONAL,Nigeria,925.4296467690699,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,17,4,D17
2024-10-01,2025-10-01,GINGER_FRESH,"Ginger, fresh","Ginger, fresh",1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,,NOT_REPORTED,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,18,2,B18
2025-09-01,2025-10-01,GINGER_FRESH,"Ginger, fresh","Ginger, fresh",1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,5463.518930469908,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,18,3,C18
2025-10-01,2025-10-01,GINGER_FRESH,"Ginger, fresh","Ginger, fresh",1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,5414.91765745556,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,18,4,D18
2024-10-01,2025-10-01,GOAT_MEAT_BONE_IN,Goat Meat Bone in,Goat Meat Bone in,,,NATIONAL,Nigeria,,NOT_REPORTED,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,19,2,B19
2025-09-01,2025-10-01,GOAT_MEAT_BONE_IN,Goat Meat Bone in,Goat Meat Bone in,,,NATIONAL,Nigeria,6812.960814162584,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,19,3,C19
2025-10-01,2025-10-01,GOAT_MEAT_BONE_IN,Goat Meat Bone in,Goat Meat Bone in,,,NATIONAL,Nigeria,6891.44199027489,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,19,4,D19
2024-10-01,2025-10-01,GROUNDNUT_OIL_75CL,"Groundnut oil, 75cl","Groundnut oil, 75cl",75 cl,SPREADSHEET_LABEL,NATIONAL,Nigeria,,NOT_REPORTED,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,20,2,B20
2025-09-01,2025-10-01,GROUNDNUT_OIL_75CL,"Groundnut oil, 75cl","Groundnut oil, 75cl",75 cl,SPREADSHEET_LABEL,NATIONAL,Nigeria,3276.6683106069527,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,20,3,C20
2025-10-01,2025-10-01,GROUNDNUT_OIL_75CL,"Groundnut oil, 75cl","Groundnut oil, 75cl",75 cl,SPREADSHEET_LABEL,NATIONAL,Nigeria,3297.0255624727492,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,20,4,D20
2024-10-01,2025-10-01,GROUNDNUTS_ROASTED_75CL,"Groundnuts, roasted,75cl bottle","Groundnuts, roasted,75cl bottle",75 cl bottle,SPREADSHEET_LABEL,NATIONAL,Nigeria,,NOT_REPORTED,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,21,2,B21
2025-09-01,2025-10-01,GROUNDNUTS_ROASTED_75CL,"Groundnuts, roasted,75cl bottle","Groundnuts, roasted,75cl bottle",75 cl bottle,SPREADSHEET_LABEL,NATIONAL,Nigeria,2645.5090459705084,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,21,3,C21
2025-10-01,2025-10-01,GROUNDNUTS_ROASTED_75CL,"Groundnuts, roasted,75cl bottle","Groundnuts, roasted,75cl bottle",75 cl bottle,SPREADSHEET_LABEL,NATIONAL,Nigeria,2639.871778087812,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,21,4,D21
2024-10-01,2025-10-01,POTATO_IRISH,Irish Potatoe,Irish Potatoe,1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,1733.47830153844,OK,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,22,2,B22
2025-09-01,2025-10-01,POTATO_IRISH,Irish Potatoe,Irish Potatoe,1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,1633.0904070698634,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,22,3,C22
2025-10-01,2025-10-01,POTATO_IRISH,Irish Potatoe,Irish Potatoe,1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,1567.3211537204168,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,22,4,D22
2024-10-01,2025-10-01,RICE_LOCAL_BROKEN,Local Rice (Broken),Local Rice (Broken),,,NATIONAL,Nigeria,,NOT_REPORTED,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,23,2,B23
2025-09-01,2025-10-01,RICE_LOCAL_BROKEN,Local Rice (Broken),Local Rice (Broken),,,NATIONAL,Nigeria,2313.344909851626,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,23,3,C23
2025-10-01,2025-10-01,RICE_LOCAL_BROKEN,Local Rice (Broken),Local Rice (Broken),,,NATIONAL,Nigeria,2311.067303873303,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,23,4,D23
2024-10-01,2025-10-01,FISH_MACKEREL_FROZEN,"Mackerel, Frozen","Mackerel, Frozen",,,NATIONAL,Nigeria,4136.1425292325,OK,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,24,2,B24
2025-09-01,2025-10-01,FISH_MACKEREL_FROZEN,"Mackerel, Frozen","Mackerel, Frozen",,,NATIONAL,Nigeria,5719.082602431877,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,24,3,C24
2025-10-01,2025-10-01,FISH_MACKEREL_FROZEN,"Mackerel, Frozen","Mackerel, Frozen",,,NATIONAL,Nigeria,5768.916952276916,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,24,4,D24
2024-10-01,2025-10-01,MAIZE_GRAIN_WHITE_LOOSE,Maize (Corn) Grains (White) sold loose,Maize (Corn) Grains (White) sold loose,1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,1080.4421040131906,OK,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,25,2,B25
2025-09-01,2025-10-01,MAIZE_GRAIN_WHITE_LOOSE,Maize (Corn) Grains (White) sold loose,Maize (Corn) Grains (White) sold loose,1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,888.6815455869121,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,25,3,C25
2025-10-01,2025-10-01,MAIZE_GRAIN_WHITE_LOOSE,Maize (Corn) Grains (White) sold loose,Maize (Corn) Grains (White) sold loose,1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,904.7357076881837,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,25,4,D25
2024-10-01,2025-10-01,ONIONS_FRESH,"Onions, fresh","Onions, fresh",1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,1251.52366019721,OK,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,26,2,B26
2025-09-01,2025-10-01,ONIONS_FRESH,"Onions, fresh","Onions, fresh",1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,1307.436653548032,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,26,3,C26
2025-10-01,2025-10-01,ONIONS_FRESH,"Onions, fresh","Onions, fresh",1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,1368.3236656435977,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,26,4,D26
2024-10-01,2025-10-01,PALM_OIL_75CL,"Palm oil, 75cl","Palm oil, 75cl",75 cl,SPREADSHEET_LABEL,NATIONAL,Nigeria,2146.9874710394374,OK,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,27,2,B27
2025-09-01,2025-10-01,PALM_OIL_75CL,"Palm oil, 75cl","Palm oil, 75cl",75 cl,SPREADSHEET_LABEL,NATIONAL,Nigeria,2525.401261601325,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,27,3,C27
2025-10-01,2025-10-01,PALM_OIL_75CL,"Palm oil, 75cl","Palm oil, 75cl",75 cl,SPREADSHEET_LABEL,NATIONAL,Nigeria,2537.89942642186,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,27,4,D27
2024-10-01,2025-10-01,PLANTAIN_RIPE,Plantain (ripe),Plantain (ripe),,,NATIONAL,Nigeria,1507.205915273078,OK,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,28,2,B28
2025-09-01,2025-10-01,PLANTAIN_RIPE,Plantain (ripe),Plantain (ripe),,,NATIONAL,Nigeria,2153.844998657108,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,28,3,C28
2025-10-01,2025-10-01,PLANTAIN_RIPE,Plantain (ripe),Plantain (ripe),,,NATIONAL,Nigeria,2155.3577663254064,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,28,4,D28
2024-10-01,2025-10-01,PLANTAIN_UNRIPE,Plantain (unripe),Plantain (unripe),,,NATIONAL,Nigeria,1539.656399778249,OK,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,29,2,B29
2025-09-01,2025-10-01,PLANTAIN_UNRIPE,Plantain (unripe),Plantain (unripe),,,NATIONAL,Nigeria,2226.4385389516437,OK,PRIOR_MONTH,Average of September-25,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,29,3,C29
2025-10-01,2025-10-01,PLANTAIN_UNRIPE,Plantain (unripe),Plantain (unripe),,,NATIONAL,Nigeria,2233.5260593618405,OK,CURRENT_MONTH,Average of October-25,TRUE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,29,4,D29
2024-10-01,2025-10-01,RICE_LOCAL_SHORT_GRAIN,"Rice Local, short-Grained","Rice Local, short-Grained",1 kg,NBS_REPORT_PDF,NATIONAL,Nigeria,1944.6436738238372,OK,YEAR_AGO,Average of October-24,FALSE,,1,Item Label,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Selected Food October 2025,30,2,B30
