release_month,observation_month,cylinder_size_kg,geography_type,geography_name,geography_raw_label,state,zone,is_aggregate,refill_price_ngn,unit,source_period_label,is_primary_release,source_anomaly,source_banner_text,header_row_used,source_file,source_member,source_sheet,source_row,source_column_index,source_cell_reference
2025-01-01,2024-01-01,5.0,STATE,Katsina,Katsina,Katsina,North West,FALSE,5344.444444444444,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,22,2,B22
2025-01-01,2024-01-01,5.0,STATE,Kebbi,Kebbi,Kebbi,North West,FALSE,5240,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,23,2,B23
2025-01-01,2024-01-01,5.0,STATE,Kogi,Kogi,Kogi,North Central,FALSE,5175,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,6,2,B6
2025-01-01,2024-01-01,5.0,STATE,Kwara,Kwara,Kwara,North Central,FALSE,5000,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,7,2,B7
2025-01-01,2024-01-01,5.0,STATE,Lagos,Lagos,Lagos,South West,FALSE,4866.0914179104475,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,41,2,B41
2025-01-01,2024-01-01,5.0,STATE,Nasarawa,Nasarawa,Nasarawa,North Central,FALSE,5790,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,8,2,B8
2025-01-01,2024-01-01,5.0,STATE,Niger,Niger,Niger,North Central,FALSE,4937.5,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,9,2,B9
2025-01-01,2024-01-01,5.0,STATE,Ogun,Ogun,Ogun,South West,FALSE,4751.044776119403,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,42,2,B42
2025-01-01,2024-01-01,5.0,STATE,Ondo,Ondo,Ondo,South West,FALSE,4800.399786780384,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,43,2,B43
2025-01-01,2024-01-01,5.0,STATE,Osun,Osun,Osun,South West,FALSE,4763.5345997286295,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,44,2,B44
2025-01-01,2024-01-01,5.0,STATE,Oyo,Oyo,Oyo,South West,FALSE,4776.320321469575,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,45,2,B45
2025-01-01,2024-01-01,5.0,STATE,Plateau,Plateau,Plateau,North Central,FALSE,5200,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,10,2,B10
2025-01-01,2024-01-01,5.0,STATE,Rivers,Rivers,Rivers,South South,FALSE,5111.111111111111,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,38,2,B38
2025-01-01,2024-01-01,5.0,STATE,Sokoto,Sokoto,Sokoto,North West,FALSE,5000,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,24,2,B24
2025-01-01,2024-01-01,5.0,STATE,Taraba,Taraba,Taraba,North East,FALSE,5200,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,16,2,B16
2025-01-01,2024-01-01,5.0,STATE,Yobe,Yobe,Yobe,North East,FALSE,5104.285714285714,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,17,2,B17
2025-01-01,2024-01-01,5.0,STATE,Zamfara,Zamfara,Zamfara,North West,FALSE,5194.44444444444,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,25,2,B25
2025-01-01,2024-01-01,5.0,ZONE,North Central,NORTH CENTRAL,,North Central,TRUE,5240.357142857143,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,3,2,B3
2025-01-01,2024-01-01,5.0,ZONE,North East,NORTH EAST,,North East,TRUE,5296.320346320346,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,11,2,B11
2025-01-01,2024-01-01,5.0,ZONE,North West,NORTH WEST,,North West,TRUE,5145.974025974026,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,18,2,B18
2025-01-01,2024-01-01,5.0,ZONE,South East,SOUTH EAST,,South East,TRUE,5128.833333333334,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,26,2,B26
2025-01-01,2024-01-01,5.0,ZONE,South South,SOUTH SOUTH,,South South,TRUE,5199.2328042328045,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,32,2,B32
2025-01-01,2024-01-01,5.0,ZONE,South West,SOUTH WEST,,South West,TRUE,4805.047298417853,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,39,2,B39
2025-01-01,2024-01-01,5.0,NATIONAL,Nigeria,Average,,,TRUE,5139.245609251645,NGN per refill,Average of Jan-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,46,2,B46
2025-01-01,2024-01-01,12.5,STATE,Abia,Abia,Abia,South East,FALSE,11817.307692307691,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,27,10,J27
2025-01-01,2024-01-01,12.5,STATE,Abuja,Abuja,Abuja,North Central,FALSE,12000,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,4,10,J4
2025-01-01,2024-01-01,12.5,STATE,Adamawa,Adamawa,Adamawa,North East,FALSE,10666.666666666666,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,12,10,J12
2025-01-01,2024-01-01,12.5,STATE,Akwa Ibom,Akwa Ibom,Akwa Ibom,South South,FALSE,12385,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,33,10,J33
2025-01-01,2024-01-01,12.5,STATE,Anambra,Anambra,Anambra,South East,FALSE,10498,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,28,10,J28
2025-01-01,2024-01-01,12.5,STATE,Bauchi,Bauchi,Bauchi,North East,FALSE,10750,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,13,10,J13
2025-01-01,2024-01-01,12.5,STATE,Bayelsa,Bayelsa,Bayelsa,South South,FALSE,12432.5,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,34,10,J34
2025-01-01,2024-01-01,12.5,STATE,Benue,Benue,Benue,North Central,FALSE,11000,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,5,10,J5
2025-01-01,2024-01-01,12.5,STATE,Borno,Borno,Borno,North East,FALSE,11500,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,14,10,J14
2025-01-01,2024-01-01,12.5,STATE,Cross River,Cross River,Cross River,South South,FALSE,13040,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,35,10,J35
2025-01-01,2024-01-01,12.5,STATE,Delta,Delta,Delta,South South,FALSE,12637.5,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,36,10,J36
2025-01-01,2024-01-01,12.5,STATE,Ebonyi,Ebonyi,Ebonyi,South East,FALSE,11212.5,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,29,10,J29
2025-01-01,2024-01-01,12.5,STATE,Edo,Edo,Edo,South South,FALSE,12453.125,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,37,10,J37
2025-01-01,2024-01-01,12.5,STATE,Ekiti,Ekiti,Ekiti,South West,FALSE,11894.8654037886,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,40,10,J40
2025-01-01,2024-01-01,12.5,STATE,Enugu,Enugu,Enugu,South East,FALSE,12015,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,30,10,J30
2025-01-01,2024-01-01,12.5,STATE,Gombe,Gombe,Gombe,North East,FALSE,12450,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,15,10,J15
2025-01-01,2024-01-01,12.5,STATE,Imo,Imo,Imo,South East,FALSE,11860,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,31,10,J31
2025-01-01,2024-01-01,12.5,STATE,Jigawa,Jigawa,Jigawa,North West,FALSE,12875,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,19,10,J19
2025-01-01,2024-01-01,12.5,STATE,Kaduna,Kaduna,Kaduna,North West,FALSE,9699.5,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,20,10,J20
2025-01-01,2024-01-01,12.5,STATE,Kano,Kano,Kano,North West,FALSE,12537.5,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,21,10,J21
2025-01-01,2024-01-01,12.5,STATE,Katsina,Katsina,Katsina,North West,FALSE,12537.5,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,22,10,J22
2025-01-01,2024-01-01,12.5,STATE,Kebbi,Taraba,Kebbi,North West,FALSE,12600,NGN per refill,Average of Jan-24,FALSE,LPG_12_5KG_KEBBI_LABELLED_TARABA,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,23,10,J23
2025-01-01,2024-01-01,12.5,STATE,Kogi,Kogi,Kogi,North Central,FALSE,12000,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,6,10,J6
2025-01-01,2024-01-01,12.5,STATE,Kwara,Kwara,Kwara,North Central,FALSE,10000,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,7,10,J7
2025-01-01,2024-01-01,12.5,STATE,Lagos,Lagos,Lagos,South West,FALSE,11020.233050847457,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,41,10,J41
2025-01-01,2024-01-01,12.5,STATE,Nasarawa,Nasarawa,Nasarawa,North Central,FALSE,11700,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,8,10,J8
2025-01-01,2024-01-01,12.5,STATE,Niger,Niger,Niger,North Central,FALSE,10400,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,9,10,J9
2025-01-01,2024-01-01,12.5,STATE,Ogun,Ogun,Ogun,South West,FALSE,11134.816384180791,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,42,10,J42
2025-01-01,2024-01-01,12.5,STATE,Ondo,Ondo,Ondo,South West,FALSE,10979.649717514123,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,43,10,J43
2025-01-01,2024-01-01,12.5,STATE,Osun,Osun,Osun,South West,FALSE,11348.983050847457,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,44,10,J44
2025-01-01,2024-01-01,12.5,STATE,Oyo,Oyo,Oyo,South West,FALSE,10755.581812255541,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,45,10,J45
2025-01-01,2024-01-01,12.5,STATE,Plateau,Plateau,Plateau,North Central,FALSE,12028.57142857143,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,10,10,J10
2025-01-01,2024-01-01,12.5,STATE,Rivers,Rivers,Rivers,South South,FALSE,12666.666666666666,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,38,10,J38
2025-01-01,2024-01-01,12.5,STATE,Sokoto,Sokoto,Sokoto,North West,FALSE,12600,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,24,10,J24
2025-01-01,2024-01-01,12.5,STATE,Taraba,Taraba,Taraba,North East,FALSE,12000,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,16,10,J16
2025-01-01,2024-01-01,12.5,STATE,Yobe,Yobe,Yobe,North East,FALSE,12000,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,17,10,J17
2025-01-01,2024-01-01,12.5,STATE,Zamfara,Zamfara,Zamfara,North West,FALSE,12725,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,25,10,J25
2025-01-01,2024-01-01,12.5,ZONE,North Central,NORTH CENTRAL,,North Central,TRUE,11304.081632653062,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,3,10,J3
2025-01-01,2024-01-01,12.5,ZONE,North East,NORTH EAST,,North East,TRUE,11561.11111111111,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,11,10,J11
2025-01-01,2024-01-01,12.5,ZONE,North West,NORTH WEST,,North West,TRUE,12224.92857142857,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,18,10,J18
2025-01-01,2024-01-01,12.5,ZONE,South East,SOUTH EAST,,South East,TRUE,11480.561538461538,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,26,10,J26
2025-01-01,2024-01-01,12.5,ZONE,South South,SOUTH SOUTH,,South South,TRUE,12602.46527777778,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,32,10,J32
2025-01-01,2024-01-01,12.5,ZONE,South West,SOUTH WEST,,South West,TRUE,11189.021569905659,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,39,10,J39
2025-01-01,2024-01-01,12.5,NATIONAL,Nigeria,Average,,,TRUE,11735.715320909367,NGN per refill,Average of Jan-24,FALSE,,12.5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,46,10,J46
2025-01-01,2024-12-01,5.0,STATE,Abia,Abia,Abia,South East,FALSE,6845.833333333333,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,27,3,C27
2025-01-01,2024-12-01,5.0,STATE,Abuja,Abuja,Abuja,North Central,FALSE,7200,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,4,3,C4
2025-01-01,2024-12-01,5.0,STATE,Adamawa,Adamawa,Adamawa,North East,FALSE,6928.299967447917,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,12,3,C12
2025-01-01,2024-12-01,5.0,STATE,Akwa Ibom,Akwa Ibom,Akwa Ibom,South South,FALSE,7281.25,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,33,3,C33
2025-01-01,2024-12-01,5.0,STATE,Anambra,Anambra,Anambra,South East,FALSE,7034.555555555556,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,28,3,C28
2025-01-01,2024-12-01,5.0,STATE,Bauchi,Bauchi,Bauchi,North East,FALSE,7250,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,13,3,C13
2025-01-01,2024-12-01,5.0,STATE,Bayelsa,Bayelsa,Bayelsa,South South,FALSE,6848,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,34,3,C34
2025-01-01,2024-12-01,5.0,STATE,Benue,Benue,Benue,North Central,FALSE,7900,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,5,3,C5
2025-01-01,2024-12-01,5.0,STATE,Borno,Borno,Borno,North East,FALSE,7784.25,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,14,3,C14
2025-01-01,2024-12-01,5.0,STATE,Cross River,Cross River,Cross River,South South,FALSE,6828.571428571428,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,35,3,C35
2025-01-01,2024-12-01,5.0,STATE,Delta,Delta,Delta,South South,FALSE,6455,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,36,3,C36
2025-01-01,2024-12-01,5.0,STATE,Ebonyi,Ebonyi,Ebonyi,South East,FALSE,7101.607142857143,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,29,3,C29
2025-01-01,2024-12-01,5.0,STATE,Edo,Edo,Edo,South South,FALSE,6969.642857142857,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,37,3,C37
2025-01-01,2024-12-01,5.0,STATE,Ekiti,Ekiti,Ekiti,South West,FALSE,6950,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,40,3,C40
2025-01-01,2024-12-01,5.0,STATE,Enugu,Enugu,Enugu,South East,FALSE,7102.473419189453,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,30,3,C30
2025-01-01,2024-12-01,5.0,STATE,Gombe,Gombe,Gombe,North East,FALSE,6873.770941840277,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,15,3,C15
2025-01-01,2024-12-01,5.0,STATE,Imo,Imo,Imo,South East,FALSE,7034.547619047619,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,31,3,C31
2025-01-01,2024-12-01,5.0,STATE,Jigawa,Jigawa,Jigawa,North West,FALSE,7281.25,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,19,3,C19
2025-01-01,2024-12-01,5.0,STATE,Kaduna,Kaduna,Kaduna,North West,FALSE,6931.176470588235,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,20,3,C20
2025-01-01,2024-12-01,5.0,STATE,Kano,Kano,Kano,North West,FALSE,7188.888888888889,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,21,3,C21
2025-01-01,2024-12-01,5.0,STATE,Katsina,Katsina,Katsina,North West,FALSE,7040,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,22,3,C22
2025-01-01,2024-12-01,5.0,STATE,Kebbi,Kebbi,Kebbi,North West,FALSE,7000,NGN per refill,Average of Dec-24,FALSE,,5KG,2,GAS_PRICE_WATCH_JAN_2025.xlsx,,LPG JAN 2025,23,3,C23
