observation_month,release_month,item_code,item_label,item_label_raw,unit,unit_source,geography_type,zone,zone_raw_label,avg_price_ngn,value_status,observation_month_basis,source_anomaly,header_row_used,source_file,source_member,source_sheet,source_row,source_column_index,source_cell_reference
2025-10-01,2025-10-01,BREAD_SLICED_450G,"Bread (sliced), 450g","Bread (sliced), 450g",450 g,SPREADSHEET_LABEL,ZONE,South East,SOUTH EAST,1649.934615596132,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,7,5,E7
2025-10-01,2025-10-01,BREAD_SLICED_450G,"Bread (sliced), 450g","Bread (sliced), 450g",450 g,SPREADSHEET_LABEL,ZONE,South South,SOUTH SOUTH,1698.6666666666667,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,7,6,F7
2025-10-01,2025-10-01,BREAD_SLICED_450G,"Bread (sliced), 450g","Bread (sliced), 450g",450 g,SPREADSHEET_LABEL,ZONE,South West,SOUTH WEST,1730.1426666666669,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,7,7,G7
2025-10-01,2025-10-01,BREAD_UNSLICED_450G,"Bread (unsliced), 450g","Bread (unsliced), 450g",450 g,SPREADSHEET_LABEL,ZONE,North Central,NORTH CENTRAL,1673.1884287952478,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,8,2,B8
2025-10-01,2025-10-01,BREAD_UNSLICED_450G,"Bread (unsliced), 450g","Bread (unsliced), 450g",450 g,SPREADSHEET_LABEL,ZONE,North East,NORTH EAST,1458.952734112482,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,8,3,C8
2025-10-01,2025-10-01,BREAD_UNSLICED_450G,"Bread (unsliced), 450g","Bread (unsliced), 450g",450 g,SPREADSHEET_LABEL,ZONE,North West,NORTH WEST,1682.8447458662342,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,8,4,D8
2025-10-01,2025-10-01,BREAD_UNSLICED_450G,"Bread (unsliced), 450g","Bread (unsliced), 450g",450 g,SPREADSHEET_LABEL,ZONE,South East,SOUTH EAST,1582.31133619398,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,8,5,E8
2025-10-01,2025-10-01,BREAD_UNSLICED_450G,"Bread (unsliced), 450g","Bread (unsliced), 450g",450 g,SPREADSHEET_LABEL,ZONE,South South,SOUTH SOUTH,1674.6324466269832,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,8,6,F8
2025-10-01,2025-10-01,BREAD_UNSLICED_450G,"Bread (unsliced), 450g","Bread (unsliced), 450g",450 g,SPREADSHEET_LABEL,ZONE,South West,SOUTH WEST,1399.8898492063483,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,8,7,G8
2025-10-01,2025-10-01,CARROTS_FRESH,"Carrots, fresh","Carrots, fresh",1 kg,NBS_REPORT_PDF,ZONE,North Central,NORTH CENTRAL,1611.018786360117,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,9,2,B9
2025-10-01,2025-10-01,CARROTS_FRESH,"Carrots, fresh","Carrots, fresh",1 kg,NBS_REPORT_PDF,ZONE,North East,NORTH EAST,1526.715091446784,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,9,3,C9
2025-10-01,2025-10-01,CARROTS_FRESH,"Carrots, fresh","Carrots, fresh",1 kg,NBS_REPORT_PDF,ZONE,North West,NORTH WEST,1588.9748674713771,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,9,4,D9
2025-10-01,2025-10-01,CARROTS_FRESH,"Carrots, fresh","Carrots, fresh",1 kg,NBS_REPORT_PDF,ZONE,South East,SOUTH EAST,2426.12427744574,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,9,5,E9
2025-10-01,2025-10-01,CARROTS_FRESH,"Carrots, fresh","Carrots, fresh",1 kg,NBS_REPORT_PDF,ZONE,South South,SOUTH SOUTH,2422.1976211215347,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,9,6,F9
2025-10-01,2025-10-01,CARROTS_FRESH,"Carrots, fresh","Carrots, fresh",1 kg,NBS_REPORT_PDF,ZONE,South West,SOUTH WEST,2198.101524382882,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,9,7,G9
2025-10-01,2025-10-01,FISH_CATFISH_FRESH,Cat fresh fish,Cat fresh fish,,,ZONE,North Central,NORTH CENTRAL,6890.497137951251,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,10,2,B10
2025-10-01,2025-10-01,FISH_CATFISH_FRESH,Cat fresh fish,Cat fresh fish,,,ZONE,North East,NORTH EAST,6539.573095514639,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,10,3,C10
2025-10-01,2025-10-01,FISH_CATFISH_FRESH,Cat fresh fish,Cat fresh fish,,,ZONE,North West,NORTH WEST,4687.783327957739,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,10,4,D10
2025-10-01,2025-10-01,FISH_CATFISH_FRESH,Cat fresh fish,Cat fresh fish,,,ZONE,South East,SOUTH EAST,6760.101819678908,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,10,5,E10
2025-10-01,2025-10-01,FISH_CATFISH_FRESH,Cat fresh fish,Cat fresh fish,,,ZONE,South South,SOUTH SOUTH,5937.102141462128,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,10,6,F10
2025-10-01,2025-10-01,FISH_CATFISH_FRESH,Cat fresh fish,Cat fresh fish,,,ZONE,South West,SOUTH WEST,5672.809333333334,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,10,7,G10
2025-10-01,2025-10-01,CHICKEN_FEET,Chicken feet,Chicken feet,,,ZONE,North Central,NORTH CENTRAL,4200.239729855547,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,11,2,B11
2025-10-01,2025-10-01,CHICKEN_FEET,Chicken feet,Chicken feet,,,ZONE,North East,NORTH EAST,2822.3249266094904,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,11,3,C11
2025-10-01,2025-10-01,CHICKEN_FEET,Chicken feet,Chicken feet,,,ZONE,North West,NORTH WEST,2621.656767373975,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,11,4,D11
2025-10-01,2025-10-01,CHICKEN_FEET,Chicken feet,Chicken feet,,,ZONE,South East,SOUTH EAST,3778.5123100246856,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,11,5,E11
2025-10-01,2025-10-01,CHICKEN_FEET,Chicken feet,Chicken feet,,,ZONE,South South,SOUTH SOUTH,4273.701750674193,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,11,6,F11
2025-10-01,2025-10-01,CHICKEN_FEET,Chicken feet,Chicken feet,,,ZONE,South West,SOUTH WEST,4853.651877192981,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,11,7,G11
2025-10-01,2025-10-01,CHICKEN_MEAT_FROZEN,Chicken meat (Frozen),Chicken meat (Frozen),,,ZONE,North Central,NORTH CENTRAL,6336.649367980956,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,12,2,B12
2025-10-01,2025-10-01,CHICKEN_MEAT_FROZEN,Chicken meat (Frozen),Chicken meat (Frozen),,,ZONE,North East,NORTH EAST,5106.487444444445,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,12,3,C12
2025-10-01,2025-10-01,CHICKEN_MEAT_FROZEN,Chicken meat (Frozen),Chicken meat (Frozen),,,ZONE,North West,NORTH WEST,4903.571428571428,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,12,4,D12
2025-10-01,2025-10-01,CHICKEN_MEAT_FROZEN,Chicken meat (Frozen),Chicken meat (Frozen),,,ZONE,South East,SOUTH EAST,7946.405274826329,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,12,5,E12
2025-10-01,2025-10-01,CHICKEN_MEAT_FROZEN,Chicken meat (Frozen),Chicken meat (Frozen),,,ZONE,South South,SOUTH SOUTH,5822.7780501043635,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,12,6,F12
2025-10-01,2025-10-01,CHICKEN_MEAT_FROZEN,Chicken meat (Frozen),Chicken meat (Frozen),,,ZONE,South West,SOUTH WEST,5715.142666666667,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,12,7,G12
2025-10-01,2025-10-01,CHICKEN_WINGS,Chicken Wings,Chicken Wings,,,ZONE,North Central,NORTH CENTRAL,5154.643838162277,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,13,2,B13
2025-10-01,2025-10-01,CHICKEN_WINGS,Chicken Wings,Chicken Wings,,,ZONE,North East,NORTH EAST,4221.365716897135,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,13,3,C13
2025-10-01,2025-10-01,CHICKEN_WINGS,Chicken Wings,Chicken Wings,,,ZONE,North West,NORTH WEST,4107.574465512068,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,13,4,D13
2025-10-01,2025-10-01,CHICKEN_WINGS,Chicken Wings,Chicken Wings,,,ZONE,South East,SOUTH EAST,5365.694393783696,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,13,5,E13
2025-10-01,2025-10-01,CHICKEN_WINGS,Chicken Wings,Chicken Wings,,,ZONE,South South,SOUTH SOUTH,5492.989063631299,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,13,6,F13
2025-10-01,2025-10-01,CHICKEN_WINGS,Chicken Wings,Chicken Wings,,,ZONE,South West,SOUTH WEST,5505.777884338262,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,13,7,G13
2025-10-01,2025-10-01,CRAYFISH_SMALL_WHITE,Cray fish small white,Cray fish small white,1 kg,NBS_REPORT_PDF,ZONE,North Central,NORTH CENTRAL,8777.785921961644,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,14,2,B14
2025-10-01,2025-10-01,CRAYFISH_SMALL_WHITE,Cray fish small white,Cray fish small white,1 kg,NBS_REPORT_PDF,ZONE,North East,NORTH EAST,9029.357166143824,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,14,3,C14
2025-10-01,2025-10-01,CRAYFISH_SMALL_WHITE,Cray fish small white,Cray fish small white,1 kg,NBS_REPORT_PDF,ZONE,North West,NORTH WEST,8862.086815663239,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,14,4,D14
2025-10-01,2025-10-01,CRAYFISH_SMALL_WHITE,Cray fish small white,Cray fish small white,1 kg,NBS_REPORT_PDF,ZONE,South East,SOUTH EAST,8559.295569832258,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,14,5,E14
2025-10-01,2025-10-01,CRAYFISH_SMALL_WHITE,Cray fish small white,Cray fish small white,1 kg,NBS_REPORT_PDF,ZONE,South South,SOUTH SOUTH,7140.359755369781,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,14,6,F14
2025-10-01,2025-10-01,CRAYFISH_SMALL_WHITE,Cray fish small white,Cray fish small white,1 kg,NBS_REPORT_PDF,ZONE,South West,SOUTH WEST,9707.25365013227,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,14,7,G14
2025-10-01,2025-10-01,FISH_DRIED_BONGA,"Dried fish, Bonga","Dried fish, Bonga",,,ZONE,North Central,NORTH CENTRAL,7780.5322000870365,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,15,2,B15
2025-10-01,2025-10-01,FISH_DRIED_BONGA,"Dried fish, Bonga","Dried fish, Bonga",,,ZONE,North East,NORTH EAST,7240.855558870156,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,15,3,C15
2025-10-01,2025-10-01,FISH_DRIED_BONGA,"Dried fish, Bonga","Dried fish, Bonga",,,ZONE,North West,NORTH WEST,5475.780560405802,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,15,4,D15
2025-10-01,2025-10-01,FISH_DRIED_BONGA,"Dried fish, Bonga","Dried fish, Bonga",,,ZONE,South East,SOUTH EAST,9997.442491660524,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,15,5,E15
2025-10-01,2025-10-01,FISH_DRIED_BONGA,"Dried fish, Bonga","Dried fish, Bonga",,,ZONE,South South,SOUTH SOUTH,6688.419240391305,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,15,6,F15
2025-10-01,2025-10-01,FISH_DRIED_BONGA,"Dried fish, Bonga","Dried fish, Bonga",,,ZONE,South West,SOUTH WEST,6756.054630762365,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,15,7,G15
2025-10-01,2025-10-01,GARRI_WHITE,Garri white,Garri white,1 kg,NBS_REPORT_PDF,ZONE,North Central,NORTH CENTRAL,630.4378497935338,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,16,2,B16
2025-10-01,2025-10-01,GARRI_WHITE,Garri white,Garri white,1 kg,NBS_REPORT_PDF,ZONE,North East,NORTH EAST,724.6533857373717,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,16,3,C16
2025-10-01,2025-10-01,GARRI_WHITE,Garri white,Garri white,1 kg,NBS_REPORT_PDF,ZONE,North West,NORTH WEST,840.3894043555371,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,16,4,D16
2025-10-01,2025-10-01,GARRI_WHITE,Garri white,Garri white,1 kg,NBS_REPORT_PDF,ZONE,South East,SOUTH EAST,1066.8514545338462,OK,RELEASE_CURRENT_PERIOD_COLUMN,,1,Selected_Food Report_Oct25.zip,selected food table October25.xlsx,Zone All item,16,5,E16
