release_month,observation_month,transport_mode,transport_mode_raw,geography_type,geography_name,geography_raw_label,zone,is_aggregate,fare_ngn,unit,source_period_label,period_position,is_primary_release,source_anomaly,source_file,source_member,source_sheet,source_row,source_column_index,source_cell_reference
2025-01-01,2024-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",ZONE,North West,NORTH WEST,North West,TRUE,957.1428571428571,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,19,2,B19
2025-01-01,2024-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",ZONE,South East,SOUTH EAST,South East,TRUE,900,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,20,2,B20
2025-01-01,2024-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",ZONE,South South,SOUTH SOUTH,South South,TRUE,1015.8333333333334,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,21,2,B21
2025-01-01,2024-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",ZONE,South West,SOUTH WEST,South West,TRUE,938.3333333333334,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,22,2,B22
2025-01-01,2024-01-01,OKADA,Journey by motorcycle (okada) per drop,NATIONAL,Nigeria,Journey by motorcycle (okada) per drop,,TRUE,456.2162162162162,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,23,2,B23
2025-01-01,2024-01-01,OKADA,Journey by motorcycle (okada) per drop,ZONE,North Central,NORTH CENTRAL,North Central,TRUE,452.85714285714283,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,24,2,B24
2025-01-01,2024-01-01,OKADA,Journey by motorcycle (okada) per drop,ZONE,North East,NORTH EAST,North East,TRUE,491.6666666666667,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,25,2,B25
2025-01-01,2024-01-01,OKADA,Journey by motorcycle (okada) per drop,ZONE,North West,NORTH WEST,North West,TRUE,392.14285714285717,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,26,2,B26
2025-01-01,2024-01-01,OKADA,Journey by motorcycle (okada) per drop,ZONE,South East,SOUTH EAST,South East,TRUE,454,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,27,2,B27
2025-01-01,2024-01-01,OKADA,Journey by motorcycle (okada) per drop,ZONE,South South,SOUTH SOUTH,South South,TRUE,430,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,28,2,B28
2025-01-01,2024-01-01,OKADA,Journey by motorcycle (okada) per drop,ZONE,South West,SOUTH WEST,South West,TRUE,527.5,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,29,2,B29
2025-01-01,2024-01-01,WATER,Water transport : water way passenger  transportat,NATIONAL,Nigeria,Water transport : water way passenger  transportat,,TRUE,1402.837837837838,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,30,2,B30
2025-01-01,2024-01-01,WATER,Water transport : water way passenger  transportat,ZONE,North Central,NORTH CENTRAL,North Central,TRUE,1013.5714285714286,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,31,2,B31
2025-01-01,2024-01-01,WATER,Water transport : water way passenger  transportat,ZONE,North East,NORTH EAST,North East,TRUE,776.6666666666666,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,32,2,B32
2025-01-01,2024-01-01,WATER,Water transport : water way passenger  transportat,ZONE,North West,NORTH WEST,North West,TRUE,821.4285714285714,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,33,2,B33
2025-01-01,2024-01-01,WATER,Water transport : water way passenger  transportat,ZONE,South East,SOUTH EAST,South East,TRUE,930,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,34,2,B34
2025-01-01,2024-01-01,WATER,Water transport : water way passenger  transportat,ZONE,South South,SOUTH SOUTH,South South,TRUE,3583.3333333333335,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,35,2,B35
2025-01-01,2024-01-01,WATER,Water transport : water way passenger  transportat,ZONE,South West,SOUTH WEST,South West,TRUE,1375,NGN per journey,Average of Jan-24,YEAR_AGO,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,36,2,B36
2025-01-01,2024-12-01,AIR,Air fare charg.for specified routes single journey,NATIONAL,Nigeria,Air fare charg.for specified routes single journey,,TRUE,126514.82263772083,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,2,3,C2
2025-01-01,2024-12-01,AIR,Air fare charg.for specified routes single journey,ZONE,North Central,NORTH CENTRAL,North Central,TRUE,126811.31095678978,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,3,3,C3
2025-01-01,2024-12-01,AIR,Air fare charg.for specified routes single journey,ZONE,North East,NORTH EAST,North East,TRUE,126754.46591100794,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,4,3,C4
2025-01-01,2024-12-01,AIR,Air fare charg.for specified routes single journey,ZONE,North West,NORTH WEST,North West,TRUE,126209.58820987632,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,5,3,C5
2025-01-01,2024-12-01,AIR,Air fare charg.for specified routes single journey,ZONE,South East,SOUTH EAST,South East,TRUE,126358.51679012345,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,6,3,C6
2025-01-01,2024-12-01,AIR,Air fare charg.for specified routes single journey,ZONE,South South,SOUTH SOUTH,South South,TRUE,125892.82793724241,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,7,3,C7
2025-01-01,2024-12-01,AIR,Air fare charg.for specified routes single journey,ZONE,South West,SOUTH WEST,South West,TRUE,127037.63273148144,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,8,3,C8
2025-01-01,2024-12-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",NATIONAL,Nigeria,"Bus journey intercity, state route, charg. per per",,TRUE,7571.960313730395,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,9,3,C9
2025-01-01,2024-12-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",ZONE,North Central,NORTH CENTRAL,North Central,TRUE,7391.284744268077,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,10,3,C10
2025-01-01,2024-12-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",ZONE,North East,NORTH EAST,North East,TRUE,7161.049779320987,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,11,3,C11
2025-01-01,2024-12-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",ZONE,North West,NORTH WEST,North West,TRUE,7154.626183862432,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,12,3,C12
2025-01-01,2024-12-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",ZONE,South East,SOUTH EAST,South East,TRUE,8020.499083333334,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,13,3,C13
2025-01-01,2024-12-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",ZONE,South South,SOUTH SOUTH,South South,TRUE,7785.68912037037,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,14,3,C14
2025-01-01,2024-12-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",ZONE,South West,SOUTH WEST,South West,TRUE,8093.037716049366,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,15,3,C15
2025-01-01,2024-12-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",NATIONAL,Nigeria,"Bus journey within  city , per  drop constant  rou",,TRUE,923.8373970637298,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,16,3,C16
2025-01-01,2024-12-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",ZONE,North Central,NORTH CENTRAL,North Central,TRUE,897.8300154320987,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,17,3,C17
2025-01-01,2024-12-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",ZONE,North East,NORTH EAST,North East,TRUE,889.103714506172,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,18,3,C18
2025-01-01,2024-12-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",ZONE,North West,NORTH WEST,North West,TRUE,936.4784832451493,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,19,3,C19
2025-01-01,2024-12-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",ZONE,South East,SOUTH EAST,South East,TRUE,907.64823148148,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,20,3,C20
2025-01-01,2024-12-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",ZONE,South South,SOUTH SOUTH,South South,TRUE,939.1122839506173,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,21,3,C21
2025-01-01,2024-12-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",ZONE,South West,SOUTH WEST,South West,TRUE,972.3811754115218,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,22,3,C22
2025-01-01,2024-12-01,OKADA,Journey by motorcycle (okada) per drop,NATIONAL,Nigeria,Journey by motorcycle (okada) per drop,,TRUE,562.9452611778445,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,23,3,C23
2025-01-01,2024-12-01,OKADA,Journey by motorcycle (okada) per drop,ZONE,North Central,NORTH CENTRAL,North Central,TRUE,549.7201344797178,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,24,3,C24
2025-01-01,2024-12-01,OKADA,Journey by motorcycle (okada) per drop,ZONE,North East,NORTH EAST,North East,TRUE,586.8096558641975,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,25,3,C25
2025-01-01,2024-12-01,OKADA,Journey by motorcycle (okada) per drop,ZONE,North West,NORTH WEST,North West,TRUE,527.8080313051147,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,26,3,C26
2025-01-01,2024-12-01,OKADA,Journey by motorcycle (okada) per drop,ZONE,South East,SOUTH EAST,South East,TRUE,524.1945000000001,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,27,3,C27
2025-01-01,2024-12-01,OKADA,Journey by motorcycle (okada) per drop,ZONE,South South,SOUTH SOUTH,South South,TRUE,546.0203909465021,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,28,3,C28
2025-01-01,2024-12-01,OKADA,Journey by motorcycle (okada) per drop,ZONE,South West,SOUTH WEST,South West,TRUE,644.720787037037,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,29,3,C29
2025-01-01,2024-12-01,WATER,Water transport : water way passenger  transportat,NATIONAL,Nigeria,Water transport : water way passenger  transportat,,TRUE,1506.9801564898235,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,30,3,C30
2025-01-01,2024-12-01,WATER,Water transport : water way passenger  transportat,ZONE,North Central,NORTH CENTRAL,North Central,TRUE,1086.2869113756612,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,31,3,C31
2025-01-01,2024-12-01,WATER,Water transport : water way passenger  transportat,ZONE,North East,NORTH EAST,North East,TRUE,866.0595555555556,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,32,3,C32
2025-01-01,2024-12-01,WATER,Water transport : water way passenger  transportat,ZONE,North West,NORTH WEST,North West,TRUE,955.0882297178126,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,33,3,C33
2025-01-01,2024-12-01,WATER,Water transport : water way passenger  transportat,ZONE,South East,SOUTH EAST,South East,TRUE,1077.2230493827165,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,34,3,C34
2025-01-01,2024-12-01,WATER,Water transport : water way passenger  transportat,ZONE,South South,SOUTH SOUTH,South South,TRUE,3655.4882458847737,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,35,3,C35
2025-01-01,2024-12-01,WATER,Water transport : water way passenger  transportat,ZONE,South West,SOUTH WEST,South West,TRUE,1492.2062911522644,NGN per journey,Average of Dec-24,PRIOR_MONTH,FALSE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,36,3,C36
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,NATIONAL,Nigeria,Air fare charg.for specified routes single journey,,TRUE,126907.709171982,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,2,4,D2
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,ZONE,North Central,NORTH CENTRAL,North Central,TRUE,126644.4218592857,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,3,4,D3
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,ZONE,North East,NORTH EAST,North East,TRUE,127141.66666666667,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,4,4,D4
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,ZONE,North West,NORTH WEST,North West,TRUE,126830,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,5,4,D5
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,ZONE,South East,SOUTH EAST,South East,TRUE,126740,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,6,4,D6
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,ZONE,South South,SOUTH SOUTH,South South,TRUE,126055.55555555566,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,7,4,D7
2025-01-01,2025-01-01,AIR,Air fare charg.for specified routes single journey,ZONE,South West,SOUTH WEST,South West,TRUE,128063.49216916667,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,8,4,D8
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",NATIONAL,Nigeria,"Bus journey intercity, state route, charg. per per",,TRUE,7573.277422449164,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,9,4,D9
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",ZONE,North Central,NORTH CENTRAL,North Central,TRUE,7482.164234047618,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,10,4,D10
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",ZONE,North East,NORTH EAST,North East,TRUE,7178.333333333333,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,11,4,D11
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",ZONE,North West,NORTH WEST,North West,TRUE,7288.998015873016,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,12,4,D12
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",ZONE,South East,SOUTH EAST,South East,TRUE,8136.657522266667,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,13,4,D13
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",ZONE,South South,SOUTH SOUTH,South South,TRUE,7385.436507936506,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,14,4,D14
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",ZONE,South West,SOUTH WEST,South West,TRUE,8124.5370370370365,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,15,4,D15
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",NATIONAL,Nigeria,"Bus journey within  city , per  drop constant  rou",,TRUE,919.4201443810811,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,16,4,D16
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",ZONE,North Central,NORTH CENTRAL,North Central,TRUE,974.5064774428572,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,17,4,D17
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",ZONE,North East,NORTH EAST,North East,TRUE,891.5,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,18,4,D18
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",ZONE,North West,NORTH WEST,North West,TRUE,908.5714285714286,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,19,4,D19
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",ZONE,South East,SOUTH EAST,South East,TRUE,912,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,20,4,D20
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",ZONE,South South,SOUTH SOUTH,South South,TRUE,866.6666666666666,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,21,4,D21
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",ZONE,South West,SOUTH WEST,South West,TRUE,954.6666666666666,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,22,4,D22
2025-01-01,2025-01-01,OKADA,Journey by motorcycle (okada) per drop,NATIONAL,Nigeria,Journey by motorcycle (okada) per drop,,TRUE,581.5140194210211,NGN per journey,Average of Jan-25,CURRENT_MONTH,TRUE,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,Transport January 2025,23,4,D23
