observation_month,release_month,transport_mode,transport_mode_raw,geography_type,geography_name,geography_raw_label,state,zone,is_aggregate,fare_ngn,unit,source_period_label,source_anomaly,source_file,source_member,source_sheet,source_row,source_column_index,source_cell_reference
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Borno,BORNO,Borno,North East,FALSE,6750,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,10,3,C10
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Cross River,CROSS RIVER,Cross River,South South,FALSE,8340,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,11,3,C11
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Delta,DELTA,Delta,South South,FALSE,8564.28571428571,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,12,3,C12
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Ebonyi,EBONYI,Ebonyi,South East,FALSE,5780.33333333333,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,13,3,C13
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Edo,EDO,Edo,South South,FALSE,6475,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,14,3,C14
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Ekiti,EKITI,Ekiti,South West,FALSE,7600,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,15,3,C15
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Enugu,ENUGU,Enugu,South East,FALSE,7218.7,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,16,3,C16
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Gombe,GOMBE,Gombe,North East,FALSE,8560,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,17,3,C17
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Imo,IMO,Imo,South East,FALSE,9432.567654,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,18,3,C18
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Jigawa,JIGAWA,Jigawa,North West,FALSE,6650,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,19,3,C19
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Kaduna,KADUNA,Kaduna,North West,FALSE,7459.375,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,20,3,C20
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Kano,KANO,Kano,North West,FALSE,7641.11111111111,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,21,3,C21
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Katsina,KATSINA,Katsina,North West,FALSE,7400,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,22,3,C22
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Kebbi,KEBBI,Kebbi,North West,FALSE,7400,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,23,3,C23
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Kogi,KOGI,Kogi,North Central,FALSE,9233.33333333333,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,24,3,C24
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Kwara,KWARA,Kwara,North Central,FALSE,5728.557139,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,25,3,C25
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Lagos,LAGOS,Lagos,South West,FALSE,7400,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,26,3,C26
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Nasarawa,NASARAWA,Nasarawa,North Central,FALSE,6786.377495,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,27,3,C27
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Niger,NIGER,Niger,North Central,FALSE,7438.881671,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,28,3,C28
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Ogun,OGUN,Ogun,South West,FALSE,9550,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,29,3,C29
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Ondo,ONDO,Ondo,South West,FALSE,7650,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,30,3,C30
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Osun,OSUN,Osun,South West,FALSE,6922.22222222222,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,31,3,C31
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Oyo,OYO,Oyo,South West,FALSE,9625,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,32,3,C32
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Plateau,PLATEAU,Plateau,North Central,FALSE,8200,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,33,3,C33
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Rivers,RIVERS,Rivers,South South,FALSE,4433.33333333333,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,34,3,C34
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Sokoto,SOKOTO,Sokoto,North West,FALSE,6915,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,35,3,C35
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Taraba,TARABA,Taraba,North East,FALSE,6160,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,36,3,C36
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Yobe,YOBE,Yobe,North East,FALSE,7350,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,37,3,C37
2025-01-01,2025-01-01,BUS_INTERCITY,"Bus journey intercity, state route, charg. per per",STATE,Zamfara,ZAMFARA,Zamfara,North West,FALSE,7557.5,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,38,3,C38
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",NATIONAL,Nigeria,Grand Total,,,TRUE,919.4201443810811,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,39,4,D39
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Abia,ABIA,Abia,South East,FALSE,470,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,2,4,D2
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Abuja,ABUJA,Abuja,North Central,FALSE,860,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,3,4,D3
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Adamawa,ADAMAWA,Adamawa,North East,FALSE,460,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,4,4,D4
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Akwa Ibom,AKWA IBOM,Akwa Ibom,South South,FALSE,930,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,5,4,D5
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Anambra,ANAMBRA,Anambra,South East,FALSE,940,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,6,4,D6
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Bauchi,BAUCHI,Bauchi,North East,FALSE,950,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,7,4,D7
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Bayelsa,BAYELSA,Bayelsa,South South,FALSE,800,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,8,4,D8
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Benue,BENUE,Benue,North Central,FALSE,850,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,9,4,D9
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Borno,BORNO,Borno,North East,FALSE,850,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,10,4,D10
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Cross River,CROSS RIVER,Cross River,South South,FALSE,880,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,11,4,D11
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Delta,DELTA,Delta,South South,FALSE,970,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,12,4,D12
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Ebonyi,EBONYI,Ebonyi,South East,FALSE,850,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,13,4,D13
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Edo,EDO,Edo,South South,FALSE,970,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,14,4,D14
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Ekiti,EKITI,Ekiti,South West,FALSE,950,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,15,4,D15
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Enugu,ENUGU,Enugu,South East,FALSE,1150,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,16,4,D16
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Gombe,GOMBE,Gombe,North East,FALSE,1060,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,17,4,D17
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Imo,IMO,Imo,South East,FALSE,1150,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,18,4,D18
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Jigawa,JIGAWA,Jigawa,North West,FALSE,1080,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,19,4,D19
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Kaduna,KADUNA,Kaduna,North West,FALSE,960,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,20,4,D20
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Kano,KANO,Kano,North West,FALSE,600,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,21,4,D21
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Katsina,KATSINA,Katsina,North West,FALSE,950,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,22,4,D22
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Kebbi,KEBBI,Kebbi,North West,FALSE,930,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,23,4,D23
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Kogi,KOGI,Kogi,North Central,FALSE,930,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,24,4,D24
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Kwara,KWARA,Kwara,North Central,FALSE,1123.3248875,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,25,4,D25
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Lagos,LAGOS,Lagos,South West,FALSE,1150,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,26,4,D26
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Nasarawa,NASARAWA,Nasarawa,North Central,FALSE,1204.562095,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,27,4,D27
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Niger,NIGER,Niger,North Central,FALSE,857.982415,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,28,4,D28
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Ogun,OGUN,Ogun,South West,FALSE,954.66666666667,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,29,4,D29
2025-01-01,2025-01-01,BUS_INTRACITY,"Bus journey within  city , per  drop constant  rou",STATE,Ondo,ONDO,Ondo,South West,FALSE,1173.33333333333,NGN per journey,Transport January 2025,,TRANSPORT_COST_Watch_JAN_2025.xlsx,,State Transport,30,4,D30
