item_code,item_label,item_label_normalised,observed_aliases,alias_variant_count,unit,unit_source,unit_evidence,observed_in
FISH_DRIED_BONGA,"Dried fish, Bonga","dried fish, bonga","Dried fish, Bonga",1,,,,food
GARRI_WHITE,Garri white,garri white,Garri white,1,1 kg,NBS_REPORT_PDF,"Selected_Food_Report_May_2025.pdf p3 'Garri white (1kg) ... to N1,341.79 in May 2025' = D16 of selected_food_table_May-25.xlsx",food
GARRI_YELLOW,Garri Yellow,garri yellow,Garri Yellow,1,,,,food
GINGER_FRESH,"Ginger, fresh","ginger, fresh","Ginger, fresh",1,1 kg,NBS_REPORT_PDF,"Selected_Food_Report_May 26.pdf p3 'Ginger Fresh (1kg) stood at N5,906.82' = D18 of selected food table May 26.xlsx",food
GOAT_MEAT_BONE_IN,Goat Meat Bone in,goat meat bone in,Goat Meat Bone in,1,,,,food
GROUNDNUT_OIL_75CL,"Groundnut oil, 75cl","groundnut oil, 75cl","Groundnut oil, 75cl",1,75 cl,SPREADSHEET_LABEL,"item label states '75cl'; corroborated by Selected_Food_Report_Apr25.pdf 'Groundnuts oil, 75cl stood at N3,250.32' = D20 of selected_food_table_Apr25.xlsx",food
GROUNDNUTS_ROASTED_75CL,"Groundnuts, roasted,75cl bottle","groundnuts, roasted,75cl bottle","Groundnuts, roasted,75cl bottle",1,75 cl bottle,SPREADSHEET_LABEL,item label states '75cl bottle',food
POTATO_IRISH,Irish Potatoe,irish potatoe,Irish Potatoe,1,1 kg,NBS_REPORT_PDF,"Selected_Food_Report_June_2025.pdf p3 '1kg of Irish potatoes ... N2,045.94 in June 2025' = D22 of selected_food_table_June-25.xlsx",food
RICE_LOCAL_BROKEN,Local Rice (Broken),local rice (broken),Local Rice (Broken),1,,,,food
FISH_MACKEREL_FROZEN,"Mackerel, Frozen","mackerel, frozen","Mackerel, Frozen",1,,,,food
MAIZE_GRAIN_WHITE_LOOSE,Maize (Corn) Grains (White) sold loose,maize (corn) grains (white) sold loose,Maize (Corn) Grains (White) sold loose,1,1 kg,NBS_REPORT_PDF,"Selected_Food_Report Sept_25.pdf p3 'Maize Grain White (1kg, sold loose) declined to N888.68 in September 2025' = D25 of selected food table september-25.xlsx",food
ONIONS_FRESH,"Onions, fresh","onions, fresh","Onions, fresh",1,1 kg,NBS_REPORT_PDF,"Selected_Food_Report_May 26.pdf p3 'onion Bulb (1kg) decreased to N1,180.01 in May 2026' = D26 of selected food table May 26.xlsx",food
PALM_OIL_75CL,"Palm oil, 75cl","palm oil, 75cl","Palm oil, 75cl",1,75 cl,SPREADSHEET_LABEL,item label states '75cl',food
PLANTAIN_RIPE,Plantain (ripe),plantain (ripe),Plantain (ripe),1,,,,food
PLANTAIN_UNRIPE,Plantain (unripe),plantain (unripe),Plantain (unripe),1,,,,food
RICE_LOCAL_SHORT_GRAIN,"Rice Local, short-Grained","rice local, short-grained","Rice Local, short-Grained",1,1 kg,NBS_REPORT_PDF,"Selected_Food_Report_Jan26.pdf p4 'locally produced Rice (1kg) stood at N1,841.83' = D30 of selected food table Jan26.xlsx; the same phrasing anchors to D30 in Aug, Oct, Nov, Dec 2025 and Feb 2026, never to Local Rice (Broken)",food
RICE_IMPORTED_LONG_GRAIN,Rice Long-Grained (Imported),rice long-grained (imported),Rice Long-Grained (Imported),1,,,,food
SEMOVITA_1KG,"Semovita, Prepacked (1kg)","semovita, prepacked (1kg)","Semovita, Prepacked (1kg)",1,1 kg,SPREADSHEET_LABEL,item label states '(1kg)',food
FISH_SMOKED_MACKEREL,Smoked fish (Mackerel),smoked fish (mackerel),Smoked fish (Mackerel) | Smoked fish,2,,,,food
POTATO_SWEET,Sweet potatoes,sweet potatoes,Sweet potatoes,1,,,,food
FISH_TILAPIA_FRESH,Tilapia fresh fish (Epiya),tilapia fresh fish (epiya),Tilapia fresh fish (Epiya),1,,,,food
MILK_EVAP_PEAK_150G,"Tin Milk-Evaporated, Peak Milk, 150g","tin milk-evaporated, peak milk, 150g","Tin Milk-Evaporated, Peak Milk, 150g",1,150 g,SPREADSHEET_LABEL,item label states '150g',food
MILK_EVAP_THREECROWN_160G,"Tin Milk-Evaporated, Three Crown Milk, 160g","tin milk-evaporated, three crown milk, 160g","Tin Milk-Evaporated, Three Crown Milk, 160g",1,160 g,SPREADSHEET_LABEL,item label states '160g',food
FISH_TITUS_FROZEN,"Titus, frozen","titus, frozen","Titus, frozen",1,,,,food
TOMATOES_FRESH,"Tomatoes, fresh","tomatoes, fresh","Tomatoes, fresh",1,1 kg,NBS_REPORT_PDF,"Selected_Food_Report_Nov_25.pdf p3 'tomatoes (1kg, sold loose) decreased to N1,243.02 in November 2025' = D39 of selected food table Nov25.xlsx",food
VEG_OIL_75CL,"Vegetable Oil, 75cl","vegetable oil, 75cl","Vegetable Oil, 75cl",1,75 cl,SPREADSHEET_LABEL,item label states '75cl',food
WATERMELON_WHOLE,"Watermelon whole, medium size fresh","watermelon whole, medium size fresh","Watermelon whole, medium size fresh",1,,,,food
WHEAT_FLOUR_2KG,"Wheat Flour, Prepacked (2kg)","wheat flour, prepacked (2kg)","Wheat Flour, Prepacked (2kg)",1,2 kg,SPREADSHEET_LABEL,item label states '(2kg)',food
YAM_TUBER,Yam Tuber,yam tuber,Yam Tuber,1,1 kg,NBS_REPORT_PDF,"Selected_Food_Report_Jan25.pdf p3 'The average price of 1kg of Yam tuber rose ... to N1,991.33 in January 2025' = D43 of Selected_food_table_Jan25.xlsx",food
